App,Package,Category,TrueLabel,Score,Disagreement
Hack Me If You Can (easy),de.bulling.hackme.easy,Libraries & Demo,Malicious,0.0,1.0
TEST TOAST,toaset.base,Libraries & Demo,Malicious,0.0,1.0
Car Cost,bluffcityapps.carcost,Finance,Malicious,0.0,1.0
Live Wallpaper Trial Unlocker,com.uip.lwp.unlocker,Libraries & Demo,Malicious,0.0,1.0
CCR Mixer,se.fridholm.CCRmixer,Tools,Malicious,0.0,1.0
Length Conversion,org.and.calc,Productivity,Malicious,0.0,1.0
Metrics Conversion Pro,com.inturi.net.android.MetricsConversionPro,Tools,Malicious,0.0,1.0
exacqVision for Android TM,sentersoft.android.apps.evdroid,Productivity,Malicious,0.0,1.0
No Bark! Dog Whistle,com.app.nobark,Tools,Malicious,0.0,1.0
Screen Filter,com.haxor,Tools,Malicious,0.0,1.0
Horror Digital Clock Widget,com.hageltech.horrorclock,Tools,Malicious,0.0,1.0
Speak Turkish,com.benjaminholfeld.speakturkish,Business,Malicious,0.0,1.0
Syngenta TankCalc,com.syngenta.android,Tools,Malicious,0.0,1.0
Screen Crack,com.laan.toys,Libraries & Demo,Malicious,0.0,1.0
Horror Digital Clock Free,com.hageltech.horrorclock.free,Tools,Malicious,0.0,1.0
Army FlashCards 4,org.me.flashcardsv3,Tools,Malicious,0.0,1.0
Simple Sound Profile Widget,net.zalio.android.spm,Tools,Malicious,0.0,1.0
Flippin Chicken Coin Toss,com.mybasementgames.chickenflip,Tools,Malicious,0.0,1.0
Bicycle Calculator (BikeCalc),de.galle.android.bikecalc,Tools,Malicious,0.0,1.0
Gears (ES1/cupcake+),com.jeffboody.GearsES1cupcake,Libraries & Demo,Malicious,0.0,1.0
IAFF Foundation Premium Key,procalpremium.procal.com,Productivity,Malicious,0.0,1.0
Adobe Flash Player 11,com.adobe.flashplayer,Tools,Malicious,0.0,1.0
TwitchRC: RC Car Gearing/Tekin,twitchrc.dcbl.ca,Tools,Malicious,0.0,1.0
Trading Forex Exposed,com.TradingExposed.book.AOTJCFJPWHUBFGKBN,Tools,Malicious,0.0,1.0
Usage Timelines Pro,com.als.usagetimelines.pro,Tools,Malicious,0.0,1.0
Smart Taskbar Pro key,com.smart.taskbar.key,Productivity,Malicious,0.0,1.0
Easily Hypnotize Anyone,com.ptajmarketing.Hypnotizeyourf,Tools,Malicious,0.0,1.0
TenjiPlayer,jp.tmhouse.TenjiPlayer,Libraries & Demo,Malicious,0.0,1.0
Thanksgiving Turkey Timer,com.aSoftDroid.turkey_noAds,Tools,Malicious,0.0,1.0
US Citizenship Exam Prep,satish.CitizenshipExam,Productivity,Malicious,0.0,1.0
Car Spec Calculator,com.carspeccalc,Tools,Malicious,0.0,1.0
Battery Use Widget,com.fjmustak.android.batteryusewidget,Tools,Malicious,0.0,1.0
Circuit Training Timer,com.appsinyourhand.circuittrainingtimer,Tools,Malicious,0.0,1.0
Secret Box,com.gnugu.secretbox,Tools,Malicious,0.0,1.0
Hypnotic Spiral,com.mikeperrow.spiral,Libraries & Demo,Malicious,0.0,1.0
Connection Fixer,eu.versine.connectionfixer,Tools,Malicious,0.0,1.0
Majora's Mask Clock Widget,com.lysolpionex.MajorasMaskClockWidget,Tools,Malicious,0.0,1.0
BatteryNotification,jp.masaki.BNf,Tools,Malicious,0.0,1.0
?????????????????????,org.sais.pinyintable,Tools,Malicious,0.0,1.0
Multi Timer-Don't burn turkey,com.murryelectronics.multitimer,Tools,Malicious,0.0,1.0
RC-Heli-Gear-Ratio,de.jaspis.rc_heli.gear_ratio,Tools,Malicious,0.0,1.0
Poker Pro Calculator,com.handycode.gaming.poker,Tools,Malicious,0.0,1.0
Simple Tip,proctor.simpletip,Finance,Malicious,0.0,1.0
Water Timer,com.speedymarks.android.water,Finance,Malicious,0.0,1.0
Toast Clock Widget,com.crosbieapp.toastclock,Tools,Malicious,0.0,1.0
Shop Calculator,com.apps.shopcalc,Finance,Malicious,0.0,1.0
Turkish for Smart Keyboard,net.cdeguet.smartkeyboardpro.tr,Tools,Malicious,0.0,1.0
Speak Turkish Free,com.benjaminholfeld.speakturkishfree,Business,Malicious,0.0,1.0
TSA Donation Processor,com.tsa.uss.tx.dp,Tools,Malicious,0.0,1.0
Car Loan Calc,com.flinthillsdesign.CarLoanCalc,Finance,Malicious,0.0,1.0
WP7 Notifications Lite,com.nlucas.wp7notificationslite,Productivity,Malicious,0.0,1.0
Army FlashCards 6,org.me.flashcardsv5,Tools,Malicious,0.0,1.0
Conduit Runner Pro,com.intineo.android.conduitbendpro,Productivity,Malicious,0.0,1.0
Swiss Railway Clock,ws.moor.railwayclock,Tools,Malicious,0.0,1.0
Calcula tu prestamo,com.fer.prestamos,Finance,Malicious,0.0,1.0
idea Training,com.ondino.Idea,Productivity,Malicious,0.0,1.0
