App,Package,Category,TrueLabel,Score,Disagreement
Tamil Unicode Keyboard-Donatio,com.KM.TK.DN,Communication,Malicious,0.0,1.0
RocketDial Language Pack,inteligeen.rocketdial.language,Communication,Malicious,0.0,1.0
Tausug Public Affairs Phrases,com.robtheis.android.phrasebook.tx.pa,Communication,Malicious,0.0,1.0
Bucket Brigade Keyboard,com.bucketbrigade.softkeyboard,Communication,Malicious,0.0,1.0
Tausug Civil Affairs Phrases,com.robtheis.android.phrasebook.tx.ca,Communication,Malicious,0.0,1.0
GO SMS Pro Turkish package,com.jb.gosms.tr,Communication,Malicious,0.0,1.0
How to be Popular & get dates,com.ptajmarketing.ATeenagersGuid,Social,Malicious,0.0,1.0
Tamil Unicode Keyboard free,com.KM.TK,Communication,Malicious,0.0,1.0
Handcent Font Pack5,com.handcent.fontpack.pack5,Communication,Malicious,0.0,1.0
Turkmen Public Affairs Phrases,com.robtheis.android.phrasebook.ub.pa,Communication,Malicious,0.0,1.0
Tausug Aircrew Phrases,com.robtheis.android.phrasebook.tx.ac,Communication,Malicious,0.0,1.0
GO SMS Pro Turkish package,com.jb.gosms.tr,Communication,Malicious,0.0,1.0
Turkish Medical Phrases,com.robtheis.android.phrasebook.tu.md,Communication,Malicious,0.0,1.0
AOSP auto theme for CSipSimple,com.csipsimple.themes.aosp.auto,Communication,Malicious,0.0,1.0
Drinking Toasts,com.calebfultz.beerchants,Social,Malicious,0.0,1.0
Truckers Glossary,apps.dps.truckersglossary,Communication,Malicious,0.0,1.0
GettingThere Chinese,sjc.gtc1,Communication,Malicious,0.0,1.0
Fashgasm Elite License,com.meecal.feedreader.rebranding.FashgasmElite.License,News & Magazines,Malicious,0.0,1.0
GO Contacts iPhone Theme,com.jbapps.contact.theme.iphone,Communication,Malicious,0.0,1.0
Handcent Emoji Plugin,com.handcent.plugin.emoji,Communication,Malicious,0.0,1.0
Turkish Navy Phrases,com.robtheis.android.phrasebook.tu.nv,Communication,Malicious,0.0,1.0
GO SMS Pro Pink Sweet theme,com.jb.gosms.theme.sweet,Communication,Malicious,0.0,1.0
Tausug Medical Phrases,com.robtheis.android.phrasebook.tx.md,Communication,Malicious,0.0,1.0
Handcent Font Pack4,com.handcent.fontpack.pack4,Communication,Malicious,0.0,1.0
Turkmen Basic Phrases,com.robtheis.android.phrasebook.ub.bc,Communication,Malicious,0.0,1.0
Mobile TV,com.mtvappj,Communication,Malicious,0.0,1.0
Turkish Basic Phrases,com.robtheis.android.phrasebook.tu.bc,Communication,Malicious,0.0,1.0
Turkmen Civil Affairs Phrases,com.robtheis.android.phrasebook.ub.ca,Communication,Malicious,0.0,1.0
?????????????????????,jp.co.nttdocomo.melodycall,Communication,Malicious,0.0,1.0
Turkish Aircrew Phrases,com.robtheis.android.phrasebook.tu.ac,Communication,Malicious,0.0,1.0
Handcent Font Pack2,com.handcent.fontpack.pack2,Communication,Malicious,0.0,1.0
Drop Call,com.dropcall,Communication,Malicious,0.0,1.0
Turkmen Navy Phrases,com.robtheis.android.phrasebook.ub.nv,Communication,Malicious,0.0,1.0
i???????????? ??????????????????,ichannel.nttdocomo.co.jp,News & Magazines,Malicious,0.0,1.0
Tourism Guide,jarc.seamolec.TourismGuide,Communication,Malicious,0.0,1.0
Etiquette For Dummies,apps.dps.etiquette,Social,Malicious,0.0,1.0
Dico Francais-Tunisien V2,frTn.searchabledict,Communication,Malicious,0.0,1.0
Screen Crack with sound!,mindworker.screencrack,Social,Malicious,0.0,1.0
Talk,com.ktix007.talk,Communication,Malicious,0.0,1.0
Uncharted 3 Trophies Guide,linhel.guide.ps3.uncharted3,Communication,Malicious,0.0,1.0
Japan Earthquake Donations,com.spkx.japan.earthquake.donations.tn.applicationname,News & Magazines,Malicious,0.0,1.0
BubblePop,exam.test000,Communication,Malicious,0.0,1.0
Tausug Navy Phrases,com.robtheis.android.phrasebook.tx.nv,Communication,Malicious,0.0,1.0
"Codes, ciphers, and secret wri",com.nullpointer.s1313240117290,Communication,Malicious,0.0,1.0
Turkmen Medical Phrases,com.robtheis.android.phrasebook.ub.md,Communication,Malicious,0.0,1.0
Japan Earthquake Donations,com.spkx.japan.earthquake.donations.tn.applicationname,News & Magazines,Malicious,0.0,1.0
Hilf' Japan,hilfjapan.spendino.de,Social,Malicious,0.0,1.0
Tausug Basic Phrases,com.robtheis.android.phrasebook.tx.bc,Communication,Malicious,0.0,1.0
GettingThere Japanese,sjc.gtj1,Communication,Malicious,0.0,1.0
Missing Person: The Global Hub,com.ppl.MissingPerson,Social,Malicious,0.0,1.0
Antique Dialer,de.pajesystems.antiquedial,Communication,Malicious,0.0,1.0
Froyo theme for CSipSimple,com.csipsimple.themes.froyo,Communication,Malicious,0.0,1.0
Handcent Emoji Plugin,com.handcent.plugin.emoji,Communication,Malicious,0.0,1.0
Handcent SMS Turkish Language,com.handcent.lang.nextsms.tr,Communication,Malicious,0.0,1.0
Turkmen Aircrew Phrases,com.robtheis.android.phrasebook.ub.ac,Communication,Malicious,0.0,1.0
What is Islam?,com.oratech.gainpeace,Social,Malicious,0.0,1.0
Handcent SMS Turkish Language,com.handcent.lang.nextsms.tr,Communication,Malicious,0.0,1.0
Turkish Civil Affairs Phrases,com.robtheis.android.phrasebook.tu.ca,Communication,Malicious,0.0,1.0
Turkish Public Affairs Phrases,com.robtheis.android.phrasebook.tu.pa,Communication,Malicious,0.0,1.0
Page Ring,com.android.pagering,Communication,Malicious,0.08045744357858516,0.9195425564214148
myCU,org.hypest.mycu,Communication,Malicious,0.08045744357858516,0.9195425564214148
Name Tag,com.mollys.nametag,Social,Malicious,0.08349357352494687,0.9165064264750531
Efficiency (free),com.nubbu.efficiency.free,Communication,Malicious,0.08683331646594473,0.9131666835340553
JVC Projector Remote Control,jp.us.tx.kaz.bt,Communication,Malicious,0.08683331646594473,0.9131666835340553
Bluetooth T.K,com.junjun.Bluetoothjinyaseto,Communication,Malicious,0.08683331646594473,0.9131666835340553
On Call End (not call log),com.brosix.callend,Communication,Malicious,0.09563809331039368,0.9043619066896064
Shake&Mute,ua.in.leopard,Communication,Malicious,0.09563809331039368,0.9043619066896064
Wifi State,net.orleaf.android.wifistate,Communication,Malicious,0.09563809331039368,0.9043619066896064
Say What?! Redneck Pack,com.doubletrouble.saywhat.redneck,Communication,Malicious,0.09563809331039368,0.9043619066896064
No Butt CallsÂ®,com.nbc_service_5,Communication,Malicious,0.09563809331039368,0.9043619066896064
Callend Vibrate,com.cn.cwd.callvibrate,Communication,Malicious,0.09563809331039368,0.9043619066896064
Everyday-Nuko for DECOCUTE,jp.futurescope.decocute.pkg_0043_00,Communication,Malicious,0.09897783625139155,0.9010221637486084
Chinese Name (Man),beta.needslab.chinesename.man,Social,Malicious,0.09897783625139155,0.9010221637486084
Dog Barking Problem Solved,com.DogBarkingProblemSolved.magazine.AOTHYESLGFZCBOQKG,Social,Malicious,0.09897783625139155,0.9010221637486084
Kopp Glass Filter Catalog,com.koppglass.production.KoppGlassCatalog,News & Magazines,Malicious,0.09897783625139155,0.9010221637486084
Chinese Name (Girl),beta.needslab.chinesename.girl,Social,Malicious,0.09897783625139155,0.9010221637486084
Quasseldroid Beta,com.iskrembilen.quasseldroid,Communication,Malicious,0.10137300543129912,0.8986269945687009
PNWQuakes,com.imaginedreal.pnwquakes,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
InsideVandy,org.insidevandy.app,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
a donation box,pec.com,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
TwitPlane,jp.codedesign.android.twitplane,Social,Malicious,0.10137300543129912,0.8986269945687009
"Social Call, from O2 Labs",es.tid.socialcall,Communication,Malicious,0.10137300543129912,0.8986269945687009
BarfaLumii,com.gt3.barfalumii,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
Whois,com.nix.apps.whois,Communication,Malicious,0.10137300543129912,0.8986269945687009
Mega Millions & Powerball,com.mylottos.mmpbfree,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
Tages-Anzeiger,com.phonegap.tagesanzeiger,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
Prayers to Share,com.metosphere.prayers,Social,Malicious,0.10137300543129912,0.8986269945687009
Comments.UA,ua.Comments,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
Tunerfish,com.tunerfish.tunerfish.ui,Social,Malicious,0.10137300543129912,0.8986269945687009
Scratch My Lotto,com.scratchmylotto.app,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
Lottery Results,com.fwsmc.lotto,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
Drudge Report (1.2),com.drudge.report,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
infolive.tv,com.infolive.activity,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
EasyTether,com.mstream.easytether_polyclef,Communication,Malicious,0.10137300543129912,0.8986269945687009
Orbot: Tor on Android,org.torproject.android,Communication,Malicious,0.10137300543129912,0.8986269945687009
NVC Check-In,nl.iconsultancy.invccheckin,Communication,Malicious,0.10137300543129912,0.8986269945687009
Easter Day Cards,easterday.mobilechamps,Social,Malicious,0.10137300543129912,0.8986269945687009
Exfoliate for Facebook,com.worb.android.exfoliate,Social,Malicious,0.10137300543129912,0.8986269945687009
TwitterStorm,loc.ibaraki.storm,Social,Malicious,0.10137300543129912,0.8986269945687009
Cachetter,jp.nabe.cachetter,Social,Malicious,0.10137300543129912,0.8986269945687009
??????????????? ??????????????? ?????? ???????????? ?????? ?????????,com.oneaday2,Social,Malicious,0.10137300543129912,0.8986269945687009
HotspotConnect,net.gailly.hotspotconnect,Communication,Malicious,0.10137300543129912,0.8986269945687009
Lotto Results,com.mylottos.results,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
Reaper Two-Six,com.reapertwosix.reapertwosix_app,Social,Malicious,0.10137300543129912,0.8986269945687009
URL Shortener Ad-Free,net.ivantis.urlshortener.paid,Communication,Malicious,0.10137300543129912,0.8986269945687009
UC Spot,com.eproximiti.ucspot,Social,Malicious,0.10137300543129912,0.8986269945687009
Radiafo,sst.RadiafoVersionI,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
Krone.at,at.krone,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
Atlantic Ocean Tsunami Alerter,com.spacenext.tsunami.atlanticocean,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
FRITZ!App Ticker Labor,de.avm.android.ticker,Communication,Malicious,0.10137300543129912,0.8986269945687009
All the Press,com.mobilendo.allthepress,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
Taiwan news online,irdc.taiwannews,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
Japanese news ??,com.sakura.News2010,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
TSRinfo,ch.tsr2.android,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
Indian Ocean Tsunami Alerter,com.spacenext.indianocean,News & Magazines,Malicious,0.10137300543129912,0.8986269945687009
????????????,com.okolabo.android.koetsubu,Social,Malicious,0.10137300543129912,0.8986269945687009
Android App for SipX,tk.pankratz.sipxapp.beta,Communication,Malicious,0.10137300543129912,0.8986269945687009
