AppID,AppName,Category,Camera,Location,Contacts,Microphone,Storage,SMS,CallLogs,Bluetooth,Calendar,PhoneState,Internet,ReadPhoneNumbers,PrivacyRiskScore,TrueLabel,NoisyLabel,LabelFlipped
SOC0001,PrimeSocial,Social,1,1,1,1,1,0,0,0,0,0,1,0,0.526,Benign,Benign,No
SOC0002,SmartHub,Social,1,1,1,0,0,0,0,0,0,0,1,0,0.368,Benign,Benign,No
SOC0003,OrbitSpace,Social,1,0,1,1,0,0,0,0,0,0,1,0,0.368,Benign,Benign,No
SOC0004,BlueNest,Social,1,0,1,1,1,0,1,0,0,0,1,0,0.526,Benign,Benign,No
SOC0005,FunNest,Social,1,1,1,1,0,1,0,1,0,0,1,1,0.737,Malicious,Malicious,No
SOC0006,HaloZone,Social,0,0,1,1,1,1,0,0,0,0,0,0,0.368,Benign,Benign,No
SOC0007,SparkVibe,Social,1,1,1,1,0,0,1,1,0,1,0,1,0.737,Malicious,Malicious,No
SOC0008,GoGrid,Social,1,1,0,0,0,1,1,0,0,0,0,0,0.421,Malicious,Malicious,No
SOC0009,RapidStream,Social,1,0,0,1,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0010,BlueCircle,Social,0,0,1,1,0,0,0,0,0,0,1,0,0.263,Benign,Benign,No
SOC0011,DailyMeet,Social,1,0,0,0,1,1,0,0,0,0,0,1,0.368,Benign,Benign,No
SOC0012,FunShare,Social,1,0,1,1,0,0,0,0,0,0,0,0,0.316,Benign,Benign,No
SOC0013,EchoSocial,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0014,VividPals,Social,1,0,0,1,1,0,0,0,0,0,0,0,0.263,Benign,Benign,No
SOC0015,UltraBuddy,Social,1,0,0,1,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0016,QuickChat,Social,0,0,1,0,1,0,0,0,0,0,1,0,0.211,Benign,Benign,No
SOC0017,MegaWave,Social,0,0,0,1,0,0,0,0,0,0,0,0,0.105,Benign,Benign,No
SOC0018,SparkPost,Social,1,0,0,1,1,0,0,0,0,1,1,0,0.368,Benign,Benign,No
SOC0019,BlueTalk,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0020,EchoStream,Social,0,0,1,1,1,0,0,0,1,0,0,0,0.316,Benign,Benign,No
SOC0021,CozyConnect,Social,1,0,1,1,1,0,1,0,1,0,1,0,0.579,Benign,Benign,No
SOC0022,BrightLink,Social,1,1,1,1,0,1,0,0,1,0,0,0,0.579,Malicious,Malicious,No
SOC0023,PixelShare,Social,1,1,1,1,1,0,0,1,0,0,1,1,0.684,Benign,Malicious,Yes
SOC0024,SmartChat,Social,0,1,1,1,1,0,1,1,1,0,0,1,0.684,Malicious,Malicious,No
SOC0025,AceBuddy,Social,1,0,1,1,1,1,1,0,0,0,1,1,0.737,Malicious,Malicious,No
SOC0026,VibeStream,Social,0,1,1,0,1,1,1,0,0,0,1,1,0.632,Malicious,Malicious,No
SOC0027,PulseChat,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0028,OrbitHub,Social,1,0,1,1,1,0,0,0,0,0,1,1,0.526,Benign,Benign,No
SOC0029,EchoConnect,Social,1,0,1,1,0,0,0,0,0,0,1,0,0.368,Benign,Benign,No
SOC0030,CozyChat,Social,1,0,1,1,0,0,0,0,0,0,0,0,0.316,Benign,Benign,No
SOC0031,GlowNest,Social,1,0,1,1,1,0,0,0,0,1,1,1,0.579,Benign,Benign,No
SOC0032,PrimePals,Social,0,0,1,1,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0033,DailyZone,Social,1,0,1,1,0,0,0,0,0,0,1,0,0.368,Benign,Benign,No
SOC0034,PrimeBuddy,Social,0,0,1,1,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0035,FastPals,Social,0,1,1,1,1,1,1,0,1,1,1,0,0.737,Malicious,Benign,Yes
SOC0036,SimpleHub,Social,0,0,1,1,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0037,ProFeed,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0038,CozyZone,Social,1,1,0,1,0,1,1,0,0,1,0,1,0.684,Malicious,Malicious,No
SOC0039,BlueChat,Social,0,1,1,1,1,0,0,0,1,0,1,0,0.474,Benign,Benign,No
SOC0040,FunLink,Social,1,1,1,0,0,1,0,1,0,0,1,1,0.632,Malicious,Malicious,No
SOC0041,AceFeed,Social,1,0,1,0,0,0,0,0,0,0,1,0,0.263,Benign,Malicious,Yes
SOC0042,MyFeed,Social,0,1,1,1,1,1,1,1,1,0,0,1,0.789,Malicious,Malicious,No
SOC0043,QuickHub,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0044,NovaShare,Social,1,0,1,0,0,0,0,0,0,0,1,0,0.263,Benign,Benign,No
SOC0045,AceSocial,Social,1,0,1,0,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0046,BlueSocial,Social,1,1,1,0,1,1,0,1,0,0,0,1,0.632,Malicious,Malicious,No
SOC0047,TurboWave,Social,1,1,1,1,0,1,1,1,0,0,0,1,0.789,Malicious,Malicious,No
SOC0048,SimpleVibe,Social,1,0,1,0,1,0,0,1,0,0,1,0,0.368,Benign,Benign,No
SOC0049,DailyTalk,Social,0,0,1,1,0,0,0,0,0,0,1,0,0.263,Benign,Benign,No
SOC0050,DriftWave,Social,1,1,1,1,1,0,0,0,0,0,1,0,0.526,Benign,Benign,No
SOC0051,VividCircle,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0052,HaloMeet,Social,1,1,1,0,1,0,1,1,1,1,0,0,0.632,Malicious,Malicious,No
SOC0053,LoopPals,Social,1,0,1,0,1,1,0,0,0,0,1,0,0.421,Benign,Malicious,Yes
SOC0054,SimpleCircle,Social,1,0,1,1,0,1,1,1,1,1,1,1,0.842,Malicious,Malicious,No
SOC0055,SparkStream,Social,0,1,0,1,0,0,1,1,0,0,0,1,0.474,Malicious,Malicious,No
SOC0056,SnapSocial,Social,1,1,1,1,1,0,1,1,0,1,0,1,0.789,Malicious,Benign,Yes
SOC0057,LoopSocial,Social,0,0,1,0,1,0,0,0,0,0,1,0,0.211,Benign,Benign,No
SOC0058,AceSpace,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0059,BrightVibe,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0060,MegaLink,Social,1,1,1,0,1,0,0,0,0,0,0,0,0.368,Benign,Benign,No
SOC0061,DailyChat,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0062,GlowPals,Social,0,0,1,1,1,1,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0063,CloudStream,Social,0,0,1,1,1,0,1,1,1,1,1,1,0.684,Malicious,Malicious,No
SOC0064,OrbitSocial,Social,1,1,1,1,0,0,1,0,0,1,0,0,0.579,Malicious,Malicious,No
SOC0065,NimbusNest,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0066,RapidZone,Social,1,0,1,1,1,0,0,0,0,0,0,0,0.368,Benign,Benign,No
SOC0067,SwiftPals,Social,0,0,1,1,0,1,1,0,1,0,1,1,0.632,Malicious,Malicious,No
SOC0068,AceChat,Social,1,0,1,0,1,0,0,0,0,0,0,0,0.263,Benign,Benign,No
SOC0069,ZenMeet,Social,1,0,0,1,1,0,0,0,0,0,1,0,0.316,Benign,Malicious,Yes
SOC0070,RapidGrid,Social,1,0,1,1,1,0,0,0,0,1,1,0,0.474,Benign,Benign,No
SOC0071,PulseWave,Social,1,1,0,0,0,1,1,0,1,1,1,1,0.684,Malicious,Malicious,No
SOC0072,VividSocial,Social,0,0,1,1,1,0,0,0,0,0,1,0,0.316,Benign,Malicious,Yes
SOC0073,GlowPost,Social,1,1,1,0,0,1,1,1,1,0,0,0,0.632,Malicious,Benign,Yes
SOC0074,OrbitFeed,Social,1,0,0,0,1,0,0,0,0,0,1,0,0.211,Benign,Benign,No
SOC0075,NeoGrid,Social,1,1,1,1,1,0,0,0,0,1,1,1,0.684,Malicious,Malicious,No
SOC0076,DailyGrid,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0077,HaloStream,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Malicious,Yes
SOC0078,NeoFeed,Social,1,1,1,1,0,1,0,0,0,0,0,1,0.632,Malicious,Malicious,No
SOC0079,QuickSpace,Social,1,1,1,1,1,1,1,0,0,0,1,1,0.842,Malicious,Malicious,No
SOC0080,BuzzLink,Social,1,0,1,1,1,0,0,1,1,0,1,0,0.526,Benign,Benign,No
SOC0081,VividVibe,Social,1,0,1,1,0,0,0,1,0,0,1,1,0.526,Benign,Benign,No
SOC0082,SnapChat,Social,1,0,1,0,1,1,1,1,0,0,0,1,0.632,Malicious,Malicious,No
SOC0083,VividFeed,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0084,GoNest,Social,0,1,0,1,1,1,1,0,1,0,1,1,0.684,Malicious,Benign,Yes
SOC0085,LoopMeet,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Malicious,Yes
SOC0086,FluxZone,Social,1,0,1,1,1,0,0,0,0,0,0,0,0.368,Benign,Benign,No
SOC0087,VividHub,Social,0,0,1,1,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0088,FunPals,Social,0,0,1,1,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0089,GlowChat,Social,0,1,1,0,0,1,1,0,1,0,1,1,0.632,Malicious,Malicious,No
SOC0090,BrightWave,Social,1,1,1,1,1,0,1,0,1,1,1,1,0.842,Malicious,Malicious,No
SOC0091,ProVibe,Social,1,0,1,0,0,0,0,0,0,0,1,0,0.263,Benign,Malicious,Yes
SOC0092,LoopShare,Social,1,1,0,1,0,1,0,1,0,1,1,1,0.684,Malicious,Malicious,No
SOC0093,CozyShare,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0094,FastShare,Social,0,0,1,1,1,0,0,0,1,1,1,1,0.526,Malicious,Malicious,No
SOC0095,TurboChat,Social,1,0,1,1,0,0,1,0,0,0,0,0,0.421,Benign,Benign,No
SOC0096,AceStream,Social,1,0,0,1,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0097,MegaCircle,Social,1,0,1,0,0,0,0,1,0,1,0,1,0.421,Malicious,Malicious,No
SOC0098,FastMeet,Social,0,1,0,1,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0099,UltraVibe,Social,1,0,1,1,1,0,0,0,0,1,1,1,0.579,Benign,Benign,No
SOC0100,TurboStream,Social,1,0,1,1,1,0,0,1,1,0,1,0,0.526,Benign,Benign,No
SOC0101,GoStream,Social,1,1,1,1,1,1,1,1,0,1,0,0,0.789,Malicious,Malicious,No
SOC0102,GlowMeet,Social,1,0,1,1,1,1,1,1,1,1,1,1,0.895,Malicious,Malicious,No
SOC0103,BrightMeet,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0104,PrimePost,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0105,OrbitGrid,Social,1,1,1,1,1,1,0,0,0,1,0,1,0.737,Malicious,Malicious,No
SOC0106,VividWave,Social,1,0,1,0,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0107,NimbusStream,Social,1,0,1,1,0,0,0,0,0,0,1,1,0.474,Benign,Benign,No
SOC0108,FluxConnect,Social,1,0,1,0,0,1,1,1,0,0,0,0,0.474,Malicious,Malicious,No
SOC0109,RapidBuddy,Social,1,1,1,1,1,1,1,0,1,1,0,1,0.895,Malicious,Benign,Yes
SOC0110,PulseCircle,Social,1,1,0,1,1,1,1,0,1,1,0,1,0.789,Malicious,Malicious,No
SOC0111,FluxPost,Social,1,1,0,1,0,0,0,1,1,0,1,1,0.579,Malicious,Malicious,No
SOC0112,NimbusWave,Social,1,0,0,1,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0113,BuzzBuddy,Social,1,0,1,1,0,0,0,0,0,0,0,1,0.421,Malicious,Malicious,No
SOC0114,PixelWave,Social,1,1,0,1,1,0,1,1,1,0,0,1,0.684,Malicious,Malicious,No
SOC0115,UltraHub,Social,1,1,1,0,0,0,0,0,0,0,1,0,0.368,Benign,Benign,No
SOC0116,ZenWave,Social,0,0,0,1,0,0,0,0,0,0,1,0,0.158,Benign,Benign,No
SOC0117,ChirpFeed,Social,1,0,1,1,1,0,0,0,0,0,0,0,0.368,Benign,Benign,No
SOC0118,SwiftVibe,Social,1,1,1,1,0,1,0,0,0,1,0,0,0.579,Malicious,Malicious,No
SOC0119,SparkNest,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0120,AceVibe,Social,1,0,0,0,0,1,0,0,0,0,1,0,0.263,Benign,Benign,No
SOC0121,UltraGrid,Social,1,0,1,1,0,0,0,0,0,0,1,0,0.368,Benign,Benign,No
SOC0122,NeoTalk,Social,1,1,1,1,0,1,1,0,1,1,0,0,0.737,Malicious,Malicious,No
SOC0123,VibeWave,Social,1,1,0,0,1,1,1,0,0,0,1,1,0.632,Malicious,Benign,Yes
SOC0124,SimpleWave,Social,1,0,1,1,0,0,1,0,0,0,1,0,0.474,Benign,Benign,No
SOC0125,ProMeet,Social,1,0,1,0,1,1,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0126,HaloConnect,Social,1,1,1,1,1,1,1,0,0,1,1,1,0.895,Malicious,Malicious,No
SOC0127,PulseVibe,Social,1,0,0,1,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0128,GoVibe,Social,1,0,1,1,1,0,0,0,0,1,0,0,0.421,Benign,Malicious,Yes
SOC0129,BlueBuddy,Social,0,0,1,0,0,0,1,1,0,0,1,1,0.421,Malicious,Malicious,No
SOC0130,NimbusConnect,Social,1,1,1,0,1,0,1,1,1,0,1,1,0.737,Malicious,Malicious,No
SOC0131,PrimeZone,Social,1,0,0,0,0,0,0,0,0,1,1,0,0.211,Benign,Benign,No
SOC0132,PrimeWave,Social,1,0,1,1,1,0,0,0,0,0,0,0,0.368,Benign,Benign,No
SOC0133,NovaHub,Social,1,1,0,0,1,1,0,0,1,1,1,0,0.526,Malicious,Malicious,No
SOC0134,SimpleFeed,Social,0,0,1,1,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0135,SparkBuddy,Social,1,0,1,1,0,0,0,1,0,0,1,0,0.421,Benign,Benign,No
SOC0136,LoopHub,Social,0,1,1,1,0,1,1,1,0,0,0,0,0.579,Malicious,Malicious,No
SOC0137,AcePals,Social,0,0,1,0,0,0,0,0,0,1,1,0,0.211,Benign,Benign,No
SOC0138,HaloBuddy,Social,0,0,1,1,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0139,RapidSpace,Social,1,0,1,0,1,0,0,0,0,0,1,0,0.316,Benign,Benign,No
SOC0140,MyVibe,Social,1,0,1,1,1,0,0,0,0,0,1,0,0.421,Benign,Benign,No
SOC0141,VibePost,Social,1,1,0,1,0,1,1,0,0,1,1,1,0.737,Malicious,Malicious,No
SOC0142,ChirpBuddy,Social,1,0,0,0,1,0,0,0,0,1,0,0,0.211,Benign,Benign,No
SOC0143,FunMeet,Social,1,1,1,1,0,0,1,1,1,0,1,0,0.684,Malicious,Malicious,No
SOC0144,MyZone,Social,0,0,1,1,0,0,0,0,1,0,1,0,0.316,Benign,Benign,No
SOC0145,EasyVibe,Social,1,1,1,0,1,0,1,1,0,0,1,0,0.579,Benign,Benign,No
SOC0146,ProGrid,Social,1,1,0,1,1,1,1,1,0,0,0,1,0.737,Malicious,Benign,Yes
SOC0147,ZenNest,Social,1,1,1,1,0,1,0,1,1,1,1,1,0.842,Malicious,Malicious,No
SOC0148,NovaBuddy,Social,0,0,1,1,1,0,1,1,0,1,1,1,0.632,Malicious,Malicious,No
SOC0149,FunGrid,Social,1,1,1,1,1,1,1,0,1,1,1,1,0.947,Malicious,Malicious,No
SOC0150,HaloLink,Social,1,0,0,1,1,0,0,0,0,0,0,0,0.263,Benign,Benign,No
