App,Package,Category,BaselinePrivacyScore,TrueLabel,Disagreement
Human Nervous System Study Gui,com.mobilereference.nervoussystem,Books & Reference,0.0,Malicious,1.0
US Army Rifle Marksmanship,com.milodroid.riflemarksmanship,Books & Reference,0.0,Malicious,1.0
Manual of Military Training,com.myappbuilder.ManualofMilitaryTraining,Books & Reference,0.0,Malicious,1.0
The Divine Comedy. ILLUSTRATED,com.mobilereference.divinecomedy,Books & Reference,0.0,Malicious,1.0
2 Stroke Gas Oil Mix Calc Pro,pamplemousse.pro.gasoil,Books & Reference,0.0,Malicious,1.0
Heart of Deception,com.btgn.heartofdeception,Books & Reference,0.0,Malicious,1.0
Sound Touch,com.soundtouch,Education,0.0,Malicious,1.0
Works of Lord Byron,com.mobilereference.Byron,Books & Reference,0.0,Malicious,1.0
Torquemada en la Hoguera,com.libromovil.torquemada,Books & Reference,0.0,Malicious,1.0
Texas CDL Handbook,com.highridge.apdftxcdl,Books & Reference,0.0,Malicious,1.0
In Search of Running Rein,com.digimediaapps.In_Search_of_Running_Rein,Books & Reference,0.0,Malicious,1.0
Learn Urdu,com.quizmine.androidurdu,Books & Reference,0.0,Malicious,1.0
Desert Dreams &  Piston Horses,com.btgn.pistonhorses,Books & Reference,0.0,Malicious,1.0
Elsati's Reward,com.btgn.elsatisrewardfree,Books & Reference,0.0,Malicious,1.0
Learn French Numbers,com.french.numbers,Education,0.0,Malicious,1.0
South The Story Of Shackleton,com.Shackleton,Books & Reference,0.0,Malicious,1.0
NCATSU CompSci Lab Grader,lab.grader,Education,0.0,Malicious,1.0
ITIL Glossary and Acronyms,com.itilglossary,Education,0.0,Malicious,1.0
Learn Russian,com.quizmine.russianandroid,Books & Reference,0.0,Malicious,1.0
Learn German for Tablet,com.quizmine.tab.learngerman,Books & Reference,0.0,Malicious,1.0
Love Song of Alfred Prufrock,com.Shmoop.Android.Poetry,Books & Reference,0.0,Malicious,1.0
CrPC-Code of Criminal Procedur,com.felix.crpc,Books & Reference,0.0,Malicious,1.0
The Glass Menagerie,com.Shmoop.Android.lit00022,Books & Reference,0.0,Malicious,1.0
"Martin Luther King, Jr.",com.sixsense.martinlutherkingjr,Books & Reference,0.0,Malicious,1.0
Praxis II Biology Exam Prep,com.dblpartners.praxisbiology,Books & Reference,0.0,Malicious,1.0
Encyclopedia Of European Birds,com.mobilereference.eurobirds,Books & Reference,0.0,Malicious,1.0
Learn Greek,com.quizmine.greekandroid,Books & Reference,0.0,Malicious,1.0
Texas Transportation Code,com.bigtwit.droidlaw.addon.tx04,Books & Reference,0.0,Malicious,1.0
What's this?,jp.mrshiromi.net.onamaenaani,Education,0.0,Malicious,1.0
Works of Samuel Johnson,com.mobilereference.Johnson,Books & Reference,0.0,Malicious,1.0
Aubrey Beardsley's Collection,com.AubreyBeardsley,Books & Reference,0.0,Malicious,1.0
OTHELLO,com.iwpsoftware.android.ebook.play.william_shakespeare.othello.pro,Books & Reference,0.0,Malicious,1.0
MINIGUIDE Mortal Kombat 2011,com.hologamma,Books & Reference,0.0,Malicious,1.0
Learn Spanish (Preview),com.quizmine.soanishpreview,Books & Reference,0.0,Malicious,1.0
12 HOT DAYS OF XMAS-SEXY XMAS??,com.ravenousromance.HotDaysOfChristmas.view,Books & Reference,0.0,Malicious,1.0
CompTIA Server+ Exam Prep,com.dblpartners.comptia_server,Books & Reference,0.0,Malicious,1.0
Speed Trap,com.btgn.speedtrap,Books & Reference,0.0,Malicious,1.0
Case Is Altered By Ben Jonson,com.BenJonson,Books & Reference,0.0,Malicious,1.0
Biology Study Guide,com.mobilereference.biology,Books & Reference,0.0,Malicious,1.0
The Hatopotamus-Book,com.digimediaapps.The_Hatopotamus,Books & Reference,0.0,Malicious,1.0
Basic Training Smart Card,com.fa53.bctsmartcard,Books & Reference,0.0,Malicious,1.0
Kaplan GRE Exam Vocabulary,com.gwhizmobile.vocab,Education,0.0,Malicious,1.0
BEC Notes,com.gwhizmobile.focusnotesbec,Education,0.0,Malicious,1.0
Slips Of Speech,com.myappbuilder.SlipsofSpeech,Books & Reference,0.0,Malicious,1.0
Samuel Johnson's Collection,com.SamuelJohnson,Books & Reference,0.0,Malicious,1.0
Cupcakes and Cupids,com.btgn.cupcakesandcupids,Books & Reference,0.0,Malicious,1.0
Monkey Math Pro,com.WWID.MonkeyMathsTT,Education,0.0,Malicious,1.0
Learning Letters and Numbers,tk.pankratz.learninglettersandnumbers,Education,0.0,Malicious,1.0
Engineering Unit Conversion,ca.activeminds.engunitconv,Education,0.0,Malicious,1.0
????????????,com.willforce.android.gensou.launcher,Books & Reference,0.0,Malicious,1.0
Voith iVSP,air.iVSP01,Education,0.0,Malicious,1.0
Kids ABC Phonics,com.intellijoy.android.phonics,Education,0.0,Malicious,1.0
Bushell On The Rampage,com.digimediaapps.Bushell_On_The_Rampage,Books & Reference,0.0,Malicious,1.0
logodroid,com.alsoft.logodroid,Education,0.0,Malicious,1.0
The Dangerously Big Bunny-Book,com.digimediaapps.The_Dangerously_Big_Bunny,Books & Reference,0.0,Malicious,1.0
Speed Trap,com.btgn.speedtrap,Books & Reference,0.0,Malicious,1.0
The Comedy of Errors PRO,com.iwpsoftware.android.ebook.play.william_shakespeare.the_comedy_of_errors.pro,Books & Reference,0.0,Malicious,1.0
