App,Package,Category,BaselinePrivacyScore,TrueLabel,Disagreement
More Cowbell!,com.bbm.android.cowbell,Entertainment,0.0,Malicious,1.0
Ghost Trap (No Ads),com.bustin.ghosttrapdonate,Entertainment,0.0,Malicious,1.0
Kuma Clock,com.livedoor.android.kuma_clock,Entertainment,0.0,Malicious,1.0
LiveWallpaper Clock 010,net.liveroid.android.clock010,Entertainment,0.0,Malicious,1.0
LiveWallpaper095-liveroid,net.liveroid.livewallpaper095,Entertainment,0.0,Malicious,1.0
MW2 Guide,com.mw2guide,Entertainment,0.0,Malicious,1.0
TSSweetCaramel FlipFont,com.monotype.android.font.tssweetcaramel,Entertainment,0.0,Malicious,1.0
WWE SmackDo vs Raw 2010 Cheats,com.llm.m080,Entertainment,0.0,Malicious,1.0
Here's To You,com.futurewisetechnologies.mobile.herestoyou,Entertainment,0.0,Malicious,1.0
VPlayer Unlocker,me.abitno.vplayer.unlocker,Media & Video,0.0,Malicious,1.0
Grumpy Lite,com.encomit.apps.grumpylite,Entertainment,0.0,Malicious,1.0
Music Toast,com.jonaskoeritz.musictoast,Music & Audio,0.0,Malicious,1.0
My Darkroom Timer,com.proj.mdt,Photography,0.0,Malicious,1.0
Toasted Tipping,com.easleyeffects.toastedtoadontipping,Entertainment,0.0,Malicious,1.0
Curse Creator,air.CurseCreatorv2,Entertainment,0.0,Malicious,1.0
Optimus Prime Soundboard,com.optimusprimesoundboard,Entertainment,0.0,Malicious,1.0
Movies: Legal Horror Films,horror.Smorg,Entertainment,0.0,Malicious,1.0
LiveWallpaper163-liveroid,net.liveroid.livewallpaper163,Entertainment,0.0,Malicious,1.0
Western Gothic #4,com.checkerbpg.westerngothic4,Comics,0.0,Malicious,1.0
Wolfenstein Cheats,com.llm.m135,Entertainment,0.0,Malicious,1.0
NHL 12 Cheats,com.llm.m123,Entertainment,0.0,Malicious,1.0
Camera ZOOM FX More Composites,slide.cameraZoom.morecomposites,Photography,0.0,Malicious,1.0
LiveWallpaper134-liveroid,net.liveroid.livewallpaper134,Entertainment,0.0,Malicious,1.0
LiveWallpaper010-liveroid,net.liveroid.livewallpaper010,Entertainment,0.0,Malicious,1.0
TV on Phone,com.tvonphone,Entertainment,0.0,Malicious,1.0
LiveWallpaper107-liveroid,net.liveroid.livewallpaper107,Entertainment,0.0,Malicious,1.0
Simple LiveWallpaper Clock,net.liveroid.android.clock013,Entertainment,0.0,Malicious,1.0
Camera ZOOM FX Composites,slide.cameraZoom.composites,Photography,0.0,Malicious,1.0
New SOA Underground Rap Music,com.musicPlayer,Music & Audio,0.0,Malicious,1.0
LiveWallpaper Clock 006,net.liveroid.android.clock006,Entertainment,0.0,Malicious,1.0
"Scalc, the scale calculator",fr.neeko.scalc,Music & Audio,0.0,Malicious,1.0
Polar Playground,net.digitalcascade.android.polar,Entertainment,0.0,Malicious,1.0
WoW Engineering Guide,com.gamerguides.engineeringguide,Entertainment,0.0,Malicious,1.0
Frutiger FlipFont,com.monotype.android.font.frutiger,Entertainment,0.0,Malicious,1.0
LiveWallpaper154-liveroid,net.liveroid.livewallpaper154,Entertainment,0.0,Malicious,1.0
Bernard Robichaud App/Ringtone,com.hldeveloping.brobichaud,Entertainment,0.0,Malicious,1.0
Western Gothic #1,com.checkerbpg.wg1,Comics,0.0,Malicious,1.0
Tower Heist Takeover,com.ubersocial.theme.towerheist,Entertainment,0.0,Malicious,1.0
LiveWallpaper067-liveroid,net.liveroid.livewallpaper067,Entertainment,0.0,Malicious,1.0
Shake That,com.wagado.shake_destiny,Entertainment,0.0,Malicious,1.0
Texas Lotto Assistant Pro,com.lotto.tx,Entertainment,0.0,Malicious,1.0
LiveWallpaper177 liveroid,net.liveroid.livewallpaper177,Entertainment,0.0,Malicious,1.0
LiveWallpaper145-liveroid,net.liveroid.livewallpaper145,Entertainment,0.0,Malicious,1.0
Three Baby Toys,com.nnnsoftware.babytoy,Entertainment,0.0,Malicious,1.0
FIFA Soccer 11 Cheats,com.llm.m003,Entertainment,0.0,Malicious,1.0
LiveWallpaper155-liveroid,net.liveroid.livewallpaper155,Entertainment,0.0,Malicious,1.0
Whimsy FlipFont,com.monotype.android.font.whimsy,Entertainment,0.0,Malicious,1.0
LiveWallpaper063-liveroid,net.liveroid.livewallpaper063,Entertainment,0.0,Malicious,1.0
Rajni Baby Clock,com.aroonpa.rajinibaby,Entertainment,0.0,Malicious,1.0
Supreme Master Television,com.app.suprememastertv,Entertainment,0.0,Malicious,1.0
SmartDJ,ub.pis.smartdj,Music & Audio,0.0,Malicious,1.0
LiveWallpaper160-liveroid,net.liveroid.livewallpaper160,Entertainment,0.0,Malicious,1.0
LiveWallpaper193 liveroid,net.liveroid.livewallpaper193,Entertainment,0.0,Malicious,1.0
LiveWallpaper Clock 006,net.liveroid.android.clock006,Entertainment,0.0,Malicious,1.0
Fire Live Wallpaper Lite,com.siz.android.livewallpaperslite,Entertainment,0.0,Malicious,1.0
TSCuteCat Korean FlipFont,com.monotype.android.font.tscutecat,Entertainment,0.0,Malicious,1.0
LiveWallpaper119-liveroid,net.liveroid.livewallpaper119,Entertainment,0.0,Malicious,1.0
Entertainment TV ( Videos ),promoterr.entertainment.videos,Entertainment,0.0,Malicious,1.0
