App,Package,Category,BaselinePrivacyScore,TrueLabel,Disagreement
Cat Playground,com.silverleaf.catgplayground,Casual,0.0,Malicious,1.0
Hanoi Tower Strip,com.game.hanoi.tower,Brain & Puzzle,0.0,Malicious,1.0
College Football History,com.edgeparkcs.CollegeFootball,Brain & Puzzle,0.0,Malicious,1.0
Brownie Taps,com.BrownieTapsFramework,Casual,0.0,Malicious,1.0
E-son Putonghua Lite,hk.com.noahmedia.nmaep.litev,Brain & Puzzle,0.0,Malicious,1.0
TiltMazes,com.lecz.android.tiltmazes,Brain & Puzzle,0.0,Malicious,1.0
Tic Tac Toe Human vs Human,com.blogspot.bonep.tictactoe,Brain & Puzzle,0.0,Malicious,1.0
Train Jumper,com.imohoo.train,Casual,0.0,Malicious,1.0
5 Star Games,com.playerx.fsg,Brain & Puzzle,0.0,Malicious,1.0
Night Hunter,com.movingames.nighthunter,Sports Games,0.0,Malicious,1.0
Ballsy,com.jm.sensor,Casual,0.0,Malicious,1.0
Par 72 Golf,com.resetgame.par72golf2,Sports Games,0.0,Malicious,1.0
Tic Tac Toe Mania Full Version,com.numericalactivity.tictactoemania.unlocker,Brain & Puzzle,0.0,Malicious,1.0
POGZ,air.com.terrypaton.pogz,Brain & Puzzle,0.0,Malicious,1.0
Tic Tac Toe 3D,com.cocosjungle.tictactoe3d,Brain & Puzzle,0.0,Malicious,1.0
CASINO TOWN,jp.butterflycorp.android.casinotown.poker,Cards & Casino,0.0,Malicious,1.0
Tic Tac Toe,tim.tictactoe,Casual,0.0,Malicious,1.0
Srickie,rs.brakus.srickie,Brain & Puzzle,0.0,Malicious,1.0
Pocket God,com.ngmoco.pocketgod,Arcade & Action,0.0,Malicious,1.0
The Rush II: Training Camp,com.rmk.rushfree,Arcade & Action,0.0,Malicious,1.0
CarTycoon,apps.vbnl.android.cartycoon,Arcade & Action,0.0,Malicious,1.0
3D Night Tower,org.tenjin.wallpaper9988902,Casual,0.0,Malicious,1.0
BounceMe,com.neelsomani.bounceme,Brain & Puzzle,0.0,Malicious,1.0
Tractor Beam,com.longleggedfly.tractorbeam,Arcade & Action,0.0,Malicious,1.0
Jelly Donuts,com.JellyDonutsFramework,Casual,0.0,Malicious,1.0
Fire Truck Driver,com.FireTruckN,Arcade & Action,0.0,Malicious,1.0
Jean-Clawed,com.appfamily.jeanclawed,Casual,0.0,Malicious,1.0
ElephantToss,com.mozeali.ElephantToss,Arcade & Action,0.0,Malicious,1.0
Tic Tac Toe,tm.app.ticTacToe,Casual,0.0,Malicious,1.0
Tic Tat Toe,air.tictattoe,Brain & Puzzle,0.0,Malicious,1.0
Truck Demolisher,air.androdemolisher11,Racing,0.0,Malicious,1.0
Naughts,com.Naughts,Casual,0.0,Malicious,1.0
Shape Safari Pro,com.spelunkcomputing.shapesafaripro,Brain & Puzzle,0.0,Malicious,1.0
Tic Tac Toe,com.dmnissley.tictactoe,Casual,0.0,Malicious,1.0
100 boxes training FAN,net.darkdrive.android.hmasfan,Brain & Puzzle,0.0,Malicious,1.0
Penguin Snowcap Challenge Lite,com.wavecrestentertainment.penguinracelite,Arcade & Action,0.0,Malicious,1.0
Tic Tac Toe Express,com.vsandroid.main,Brain & Puzzle,0.0,Malicious,1.0
San Francisco Tycoon,com.pixalonstudios.android.sanfranciscotycoon,Brain & Puzzle,0.0,Malicious,1.0
Trouser Trouble,beril.mootor.trousertrouble,Arcade & Action,0.0,Malicious,1.0
Dumb Lite,djf.dumblite,Arcade & Action,0.0,Malicious,1.0
Solitaire MegaPack,com.tesseractmobile.solitairemulti,Cards & Casino,0.0,Malicious,1.0
Eskimo Tower Defense LITE,com.chalmers.game.td,Arcade & Action,0.0,Malicious,1.0
Tilt Mini Golf,net.pierrox.gravity_golf.ext_course.hard,Arcade & Action,0.0,Malicious,1.0
Dreamdom Tic Tac Toe,com.dreamdom.tictactoe,Casual,0.0,Malicious,1.0
Lizardry Demo,com.reflectivelayer.lizardrydemo,Casual,0.0,Malicious,1.0
Strauss-Kahn Traps,com.quaysys,Arcade & Action,0.0,Malicious,1.0
Truck Demolisher LITE,air.androdemolisher11lite,Racing,0.0,Malicious,1.0
Tic  Tac Toe Smart AI,com.tictactoejeffrey,Casual,0.0,Malicious,1.0
Thruster,kutamba.thrusterpaid,Arcade & Action,0.0,Malicious,1.0
CARS,com.makayama.CARS,Arcade & Action,0.0,Malicious,1.0
Catan,com.exozet.android.catan,Brain & Puzzle,0.0,Malicious,1.0
Droid Tower Defense FREE,com.southsourced.game.toweraefree,Arcade & Action,0.0,Malicious,1.0
ZOMBIE CEMENTERY,air.ZOMBIE,Arcade & Action,0.0,Malicious,1.0
Dressup Maidens Punk Donate,air.dmgothicpunkstyledonate,Casual,0.0,Malicious,1.0
infeCCt,com.hg.infecct,Brain & Puzzle,0.0,Malicious,1.0
iVelha,com.iaggames.ivelha,Arcade & Action,0.0,Malicious,1.0
Tooth Defence,processing.android.test.teeth_android,Arcade & Action,0.0,Malicious,1.0
3D Tic Tac Toe,air.A3DTICTACTOE,Casual,0.0,Malicious,1.0
Andy's Turkey Fry,pop.game.aw.thanksgiving,Arcade & Action,0.0,Malicious,1.0
