App,Package,Category,BaselinePrivacyScore,TrueLabel,Disagreement
TV Static Live Wallpaper,com.custom.lwp.static,Personalization,0.0,Malicious,1.0
MedCalc 3000 Neurology,com.medcalc3000.neurology,Medical,0.0,Malicious,1.0
Sea animals/Amphibious animal,jp.co.scale.h24.amphibious,Lifestyle,0.0,Malicious,1.0
GroceryList,net.sroz.grocerylist,Shopping,0.0,Malicious,1.0
Titans Live Wallpaper PRO,com.dankei.titanslwpro,Sports,0.0,Malicious,1.0
aHome/Open Home Zebra Theme,mobi.bbase.ahome.theme.zebra,Personalization,0.0,Malicious,1.0
Turkey Disguise Live Wallpaper,com.custom.lwp.thankdisxx,Personalization,0.0,Malicious,1.0
Crocodile Live Wallpaper,com.custom.lwp.LWPcrocodile,Personalization,0.0,Malicious,1.0
Breakfast Recipes Cookbook,com.EaseApps.breakfastrecipes,Lifestyle,0.0,Malicious,1.0
aHome/Open Home Glow Theme,mobi.bbase.ahome.theme.Glow,Personalization,0.0,Malicious,1.0
Football Monogram T Live WP,com.tBAMA.Gilbo,Personalization,0.0,Malicious,1.0
Muscular System,com.simpaddico.flashcards.muscularsystem,Medical,0.0,Malicious,1.0
Cute Kids (Crazyhome),mobi.flagirl.cutekidsii,Personalization,0.0,Malicious,1.0
World Cup Theme,org.openintents.themes.worldcup.market,Personalization,0.0,Malicious,1.0
Football Monogram S Live WP,com.sBAMA.Gilbo,Personalization,0.0,Malicious,1.0
Crystal Butterflies Wallpaper,ua.sharkymobile.ab.crystalbutterflies,Personalization,0.0,Malicious,1.0
Hanuman Chalisa,com.dzo.hanumanchalisa,Lifestyle,0.0,Malicious,1.0
Cheesecake Recipes Cookbook,com.EaseApps.cheesecake,Lifestyle,0.0,Malicious,1.0
Army Wallpaper,com.sjm.ArmyWallpaper,Personalization,0.0,Malicious,1.0
OmniEngine Live Wallpaper,ca.repl.omniengine,Personalization,0.0,Malicious,1.0
Death Theme,com.nd.android.pandatheme.p_death_theme,Personalization,0.0,Malicious,1.0
Moving Tongue Live Wallpaper,com.custom.lwp.LWPtongueMovement,Personalization,0.0,Malicious,1.0
DKV GuÃ­a Dental,com.dkv_guiadental,Health & Fitness,0.0,Malicious,1.0
Vet Infusions,com.insomnolentdesigns.VetInfusion,Medical,0.0,Malicious,1.0
RvList Pro,com.hc.rv.listpro,Travel & Local,0.0,Malicious,1.0
IntervalTimer,com.plainandsimplesoftware.IntervalTimer,Health & Fitness,0.0,Malicious,1.0
Spookylicious Icon Pack,mobi.mommadeuce.spookyliciousiconpack,Personalization,0.0,Malicious,1.0
Pretty Girl Theme,mobi.mommadeuce.prettygirl,Personalization,0.0,Malicious,1.0
Red Hearts (Crazyhome),mobi.flagirl.redheartsbyflagirl,Personalization,0.0,Malicious,1.0
Fast Fitness,com.FastFitness.magazine.AOTGADMMSXRIQBJPQ,Health & Fitness,0.0,Malicious,1.0
Hamlet,indiaNIC.android.Hamlet,Lifestyle,0.0,Malicious,1.0
Gearwheels Live Wallpaper,ua.sharkymobile.ab.gearwheels,Personalization,0.0,Malicious,1.0
Turtle Swimming,cs.zi.klz,Personalization,0.0,Malicious,1.0
SurendranagarTouristGuide,com.Android.CCMCA13,Travel & Local,0.0,Malicious,1.0
Modern Warfare 3 HD Theme,com.nd.android.pandatheme.p_mw3_theme,Personalization,0.0,Malicious,1.0
Patriot Turkey Live Wallpaper,com.custom.lwp.jumpfox,Personalization,0.0,Malicious,1.0
National Anthem Italy,anthems.italy,Lifestyle,0.0,Malicious,1.0
Tropical Aquarium,com.nd.android.pandatheme.p_tropical_aquarium,Personalization,0.0,Malicious,1.0
Liverpool Clock Widget,com.wabbittdevs.liverpoolwidget,Personalization,0.0,Malicious,1.0
Dog Training Tips,com.rkj.DogTrainingTips,Lifestyle,0.0,Malicious,1.0
M3(Multilingual medical quest),jp.m3.full,Medical,0.0,Malicious,1.0
Tongue Scanner,rd.adv.tonguescanner,Lifestyle,0.0,Malicious,1.0
ThunderHead,jp.co.indexweb.idxhome.thunderhead,Personalization,0.0,Malicious,1.0
Ryujin Lovers VI,com.dmf.wall.RyujinLoversVI,Personalization,0.0,Malicious,1.0
Optical Illusion Wallpaper,ua.sharkymobile.rb.opticalillusion,Personalization,0.0,Malicious,1.0
Gourmet Popcorn Recipes,com.EaseApps.gourmetpopcornrecipes,Lifestyle,0.0,Malicious,1.0
aniPet Aquarium LiveWallpaper,com.anifree.anipet.aquarium.ad,Personalization,0.0,Malicious,1.0
Wicked Clown [SQTheme] ADW,com.sqbase.adwtheme.sqsq934739,Personalization,0.0,Malicious,1.0
Beautiful Zombie Live Wallpape,com.custom.lwp.beautifulzombie,Personalization,0.0,Malicious,1.0
Tornado Brewing Live Wallpaper,com.custom.lwp.tornadobrew,Personalization,0.0,Malicious,1.0
100 Recipes For Kids,com.EaseApps.recipesforkids,Lifestyle,0.0,Malicious,1.0
Yoga Plugin,androidcap.yogaplug.standing,Health & Fitness,0.0,Malicious,1.0
Tortoise Live Wallpaper,com.custom.lwp.Tortoise,Personalization,0.0,Malicious,1.0
Tabo with Turtle Theme,com.sone.android.theme.TbTurtle,Personalization,0.0,Malicious,1.0
Little Shopping List,de.firepower.shoppinglist,Shopping,0.0,Malicious,1.0
Dark Skull Live Wallpaper,ua.sharkymobile.sh.darkskull,Personalization,0.0,Malicious,1.0
Timetable for Taiwan Tour,FETnet.Railway,Travel & Local,0.0,Malicious,1.0
Assertiveness Training,com.self.scommunication1start,Health & Fitness,0.0,Malicious,1.0
Dog Health Basics,com.DogHealthGuide.magazine.AOTGIBJKVIMECSFO,Health & Fitness,0.0,Malicious,1.0
Turkey Running Live Wallpapers,app.turkeyrunning,Personalization,0.0,Malicious,1.0
Crocodile Live Wallpaper,com.custom.lwp.LWPcrocodile,Personalization,0.0,Malicious,1.0
PinkChristmasLove Theme,mobi.mommadeuce.pinkxmaslove,Personalization,0.0,Malicious,1.0
KF Hearts Live Wallpaper,fishnoodle.hearts_free,Personalization,0.0,Malicious,1.0
Water Spiral Live Wallpaper,ua.sharkymobile.rb.waterspiral,Personalization,0.0,Malicious,1.0
Silhouette Live Wallpaper,fishnoodle.silhouette_free,Personalization,0.0,Malicious,1.0
EMOlution Icon Pack,mobi.mommadeuce.emolutioniconpack,Personalization,0.0,Malicious,1.0
Texas Longhorns Clock Widget,org.lanesoft.AnalogClock.UT,Sports,0.0,Malicious,1.0
Adjectives and Adverbs demo,com.adverbs.demo2,Travel & Local,0.0,Malicious,1.0
Gay Pride Rainbow Butterfly,com.custom.lwp.gayprideandroidappsmb,Personalization,0.0,Malicious,1.0
Sun Rise Free Live Wallpaper,com.teragon.skyatdawnlw.lite,Personalization,0.0,Malicious,1.0
Iron Man 2 _panda,com.nd.android.pandatheme.p_iron_man_2,Personalization,0.0,Malicious,1.0
CrazyB!tch!,mobi.mommadeuce.crazybitch,Personalization,0.0,Malicious,1.0
HTC Sense UI Icons,com.nd.android.pandatheme.p_senseicons,Personalization,0.0,Malicious,1.0
Zebra,jp.co.indexweb.idxhome.zebra,Personalization,0.0,Malicious,1.0
Bitchslap,mobi.mommadeuce.bitchslap,Personalization,0.0,Malicious,1.0
Gateway One,com.Gateway_One_Series,Lifestyle,0.0,Malicious,1.0
National Anthem Canada,anthems.canada,Lifestyle,0.0,Malicious,1.0
420 Notifier,com.dustinjorge.fourtwentynotifier,Lifestyle,0.0,Malicious,1.0
Whirlpool Tornado Live Wallpap,com.custom.lwp.whirlpooltornado,Personalization,0.0,Malicious,1.0
Texas Theme,com.smokey.stateoftexastheme,Personalization,0.0,Malicious,1.0
Japan tsunami quake charity 2,jp.spr.adr.Prom_Live_Wallpaper_bac07,Personalization,0.0,Malicious,1.0
Thunderstorm Donation,fishnoodle.storm,Personalization,0.0,Malicious,1.0
Fresh Spanish,sonjoy.SpainFlag,Sports,0.0,Malicious,1.0
Home Decorating,com.ptajmarketing.HomeDecorating,Shopping,0.0,Malicious,1.0
Purple Addiction (CrazyHome),mobi.flagirl.purpleaddiction,Personalization,0.0,Malicious,1.0
New Mom Guide,com.phoneflips.mom,Health & Fitness,0.0,Malicious,1.0
"South Padre Island, TX Coupons",com.pixelplace.southpadrecoupons,Travel & Local,0.0,Malicious,1.0
Burning Snake Live Wallpaper,ua.sharkymobile.dr.burningsnake,Personalization,0.0,Malicious,1.0
Santas Toys LIve Wallpaper,com.custom.lwp.santatoys,Personalization,0.0,Malicious,1.0
Speed Diva,mobi.mommadeuce.speeddiva,Personalization,0.0,Malicious,1.0
æ˜Žé¡æ­¢æ°´,jp.co.indexweb.idxhome.shisui,Personalization,0.0,Malicious,1.0
Fantasy Heart Live Wallpaper,ua.sharkymobile.li.fantasyheart,Personalization,0.0,Malicious,1.0
Swarm Live Wallpaper,com.moodyturtle.swarm,Personalization,0.0,Malicious,1.0
Resonate ADW/Open Home  Theme,com.visionmobility.resonate.adw.theme,Personalization,0.0,Malicious,1.0
WeightLoss,com.self.hypnosis.wboredomstart,Health & Fitness,0.0,Malicious,1.0
mX Dubrovnik,com.mobiexplore.android.dubrovnik,Travel & Local,0.0,Malicious,1.0
CardioTrainer Pro,com.wsl.CardioTrainer.pro_feature,Health & Fitness,0.0,Malicious,1.0
Koi Free Live Wallpaper,fishnoodle.koipond_free,Personalization,0.0,Malicious,1.0
Pocket Polyglot Turkish,com.pocketpolyglot.android.turkish,Travel & Local,0.0,Malicious,1.0
Haterz,mobi.mommadeuce.haterz,Personalization,0.0,Malicious,1.0
French in Pictures: Trip Trial,com.travel.learn.french.trial,Travel & Local,0.0,Malicious,1.0
Radiation levels,sonjoy.Radioactivity,Weather,0.0,Malicious,1.0
TechHeim Mobile PACS,com.techheim.android.vrm,Medical,0.0,Malicious,1.0
Preston North End: The Hub,com.ppl.PNE,Sports,0.0,Malicious,1.0
MultiPicture Live Wallpaper,org.tamanegi.wallpaper.multipicture,Personalization,0.0,Malicious,1.0
Bike Repair,com.atomicsoftwares.bikerepair,Sports,0.0,Malicious,1.0
Paris Metro,paris.metro.map,Travel & Local,0.0,Malicious,1.0
Diamond Stars Live Wallpaper,ua.sharkymobile.ab.diamondstars,Personalization,0.0,Malicious,1.0
Turkey Footballer Live Walls,app.turkeyfootballer,Personalization,0.0,Malicious,1.0
Disaster ID,com.sssllc.disasterid,Weather,0.0,Malicious,1.0
Spiral Tunnel Live Wallpaper,com.custom.lwp.spiralff,Personalization,0.0,Malicious,1.0
Coconut,mobi.mommadeuce.coconut,Personalization,0.0,Malicious,1.0
Emolicious,mobi.mommadeuce.emolicious,Personalization,0.0,Malicious,1.0
Delicious Candy Recipes,com.EaseApps.deliciouscandyrecipes,Lifestyle,0.0,Malicious,1.0
Titans-Live NFL 3D Wallpaper,com.droidcoders.TennesseeTitansLiveWallpaper,Sports,0.0,Malicious,1.0
Toomb Stone doo-dad,com.dml.halloween.toombstone,Personalization,0.0,Malicious,1.0
Yummy to my Tummy Crazyhome,mobi.flagirl.yummytomytummy,Personalization,0.0,Malicious,1.0
Her Inspiration,HerInspiration.com,Lifestyle,0.0,Malicious,1.0
Ghost Theme,com.nd.android.pandatheme.p_ghost_theme,Personalization,0.0,Malicious,1.0
King Lear,indiaNIC.android.KingLear,Lifestyle,0.0,Malicious,1.0
Gloomy Clown [SQTheme] ADW,com.sqbase.adwtheme.sqsq1004739,Personalization,0.0,Malicious,1.0
Podiatry,com.simpaddico.flashcards.podiatry,Medical,0.0,Malicious,1.0
Happy Memory Jogger,com.self.shelp3start,Health & Fitness,0.0,Malicious,1.0
Football Monogram J Live WP,com.jBAMA.Gilbo,Personalization,0.0,Malicious,1.0
myBuddy TravelPlanner,com.mybuddy,Travel & Local,0.0,Malicious,1.0
