App,Package,Category,BaselinePrivacyScore,TrueLabel,Disagreement
Hack Me If You Can (easy),de.bulling.hackme.easy,Libraries & Demo,0.0,Malicious,1.0
TEST TOAST,toaset.base,Libraries & Demo,0.0,Malicious,1.0
Car Cost,bluffcityapps.carcost,Finance,0.0,Malicious,1.0
Live Wallpaper Trial Unlocker,com.uip.lwp.unlocker,Libraries & Demo,0.0,Malicious,1.0
CCR Mixer,se.fridholm.CCRmixer,Tools,0.0,Malicious,1.0
Length Conversion,org.and.calc,Productivity,0.0,Malicious,1.0
Metrics Conversion Pro,com.inturi.net.android.MetricsConversionPro,Tools,0.0,Malicious,1.0
exacqVision for Android TM,sentersoft.android.apps.evdroid,Productivity,0.0,Malicious,1.0
No Bark! Dog Whistle,com.app.nobark,Tools,0.0,Malicious,1.0
Screen Filter,com.haxor,Tools,0.0,Malicious,1.0
Horror Digital Clock Widget,com.hageltech.horrorclock,Tools,0.0,Malicious,1.0
Speak Turkish,com.benjaminholfeld.speakturkish,Business,0.0,Malicious,1.0
Syngenta TankCalc,com.syngenta.android,Tools,0.0,Malicious,1.0
Screen Crack,com.laan.toys,Libraries & Demo,0.0,Malicious,1.0
Horror Digital Clock Free,com.hageltech.horrorclock.free,Tools,0.0,Malicious,1.0
Army FlashCards 4,org.me.flashcardsv3,Tools,0.0,Malicious,1.0
Simple Sound Profile Widget,net.zalio.android.spm,Tools,0.0,Malicious,1.0
Flippin Chicken Coin Toss,com.mybasementgames.chickenflip,Tools,0.0,Malicious,1.0
Bicycle Calculator (BikeCalc),de.galle.android.bikecalc,Tools,0.0,Malicious,1.0
Gears (ES1/cupcake+),com.jeffboody.GearsES1cupcake,Libraries & Demo,0.0,Malicious,1.0
IAFF Foundation Premium Key,procalpremium.procal.com,Productivity,0.0,Malicious,1.0
Adobe Flash Player 11,com.adobe.flashplayer,Tools,0.0,Malicious,1.0
TwitchRC: RC Car Gearing/Tekin,twitchrc.dcbl.ca,Tools,0.0,Malicious,1.0
Trading Forex Exposed,com.TradingExposed.book.AOTJCFJPWHUBFGKBN,Tools,0.0,Malicious,1.0
Usage Timelines Pro,com.als.usagetimelines.pro,Tools,0.0,Malicious,1.0
Smart Taskbar Pro key,com.smart.taskbar.key,Productivity,0.0,Malicious,1.0
Easily Hypnotize Anyone,com.ptajmarketing.Hypnotizeyourf,Tools,0.0,Malicious,1.0
TenjiPlayer,jp.tmhouse.TenjiPlayer,Libraries & Demo,0.0,Malicious,1.0
Thanksgiving Turkey Timer,com.aSoftDroid.turkey_noAds,Tools,0.0,Malicious,1.0
US Citizenship Exam Prep,satish.CitizenshipExam,Productivity,0.0,Malicious,1.0
Car Spec Calculator,com.carspeccalc,Tools,0.0,Malicious,1.0
Battery Use Widget,com.fjmustak.android.batteryusewidget,Tools,0.0,Malicious,1.0
Circuit Training Timer,com.appsinyourhand.circuittrainingtimer,Tools,0.0,Malicious,1.0
