App,Package,Category,BaselinePrivacyScore,TrueLabel,Disagreement
Tamil Unicode Keyboard-Donatio,com.KM.TK.DN,Communication,0.0,Malicious,1.0
RocketDial Language Pack,inteligeen.rocketdial.language,Communication,0.0,Malicious,1.0
Tausug Public Affairs Phrases,com.robtheis.android.phrasebook.tx.pa,Communication,0.0,Malicious,1.0
Bucket Brigade Keyboard,com.bucketbrigade.softkeyboard,Communication,0.0,Malicious,1.0
Tausug Civil Affairs Phrases,com.robtheis.android.phrasebook.tx.ca,Communication,0.0,Malicious,1.0
GO SMS Pro Turkish package,com.jb.gosms.tr,Communication,0.0,Malicious,1.0
How to be Popular & get dates,com.ptajmarketing.ATeenagersGuid,Social,0.0,Malicious,1.0
Tamil Unicode Keyboard free,com.KM.TK,Communication,0.0,Malicious,1.0
Handcent Font Pack5,com.handcent.fontpack.pack5,Communication,0.0,Malicious,1.0
Turkmen Public Affairs Phrases,com.robtheis.android.phrasebook.ub.pa,Communication,0.0,Malicious,1.0
Tausug Aircrew Phrases,com.robtheis.android.phrasebook.tx.ac,Communication,0.0,Malicious,1.0
GO SMS Pro Turkish package,com.jb.gosms.tr,Communication,0.0,Malicious,1.0
Turkish Medical Phrases,com.robtheis.android.phrasebook.tu.md,Communication,0.0,Malicious,1.0
AOSP auto theme for CSipSimple,com.csipsimple.themes.aosp.auto,Communication,0.0,Malicious,1.0
Drinking Toasts,com.calebfultz.beerchants,Social,0.0,Malicious,1.0
Truckers Glossary,apps.dps.truckersglossary,Communication,0.0,Malicious,1.0
GettingThere Chinese,sjc.gtc1,Communication,0.0,Malicious,1.0
Fashgasm Elite License,com.meecal.feedreader.rebranding.FashgasmElite.License,News & Magazines,0.0,Malicious,1.0
GO Contacts iPhone Theme,com.jbapps.contact.theme.iphone,Communication,0.0,Malicious,1.0
Handcent Emoji Plugin,com.handcent.plugin.emoji,Communication,0.0,Malicious,1.0
Turkish Navy Phrases,com.robtheis.android.phrasebook.tu.nv,Communication,0.0,Malicious,1.0
GO SMS Pro Pink Sweet theme,com.jb.gosms.theme.sweet,Communication,0.0,Malicious,1.0
Tausug Medical Phrases,com.robtheis.android.phrasebook.tx.md,Communication,0.0,Malicious,1.0
Handcent Font Pack4,com.handcent.fontpack.pack4,Communication,0.0,Malicious,1.0
Turkmen Basic Phrases,com.robtheis.android.phrasebook.ub.bc,Communication,0.0,Malicious,1.0
Mobile TV,com.mtvappj,Communication,0.0,Malicious,1.0
Turkish Basic Phrases,com.robtheis.android.phrasebook.tu.bc,Communication,0.0,Malicious,1.0
Turkmen Civil Affairs Phrases,com.robtheis.android.phrasebook.ub.ca,Communication,0.0,Malicious,1.0
?????????????????????,jp.co.nttdocomo.melodycall,Communication,0.0,Malicious,1.0
Turkish Aircrew Phrases,com.robtheis.android.phrasebook.tu.ac,Communication,0.0,Malicious,1.0
Handcent Font Pack2,com.handcent.fontpack.pack2,Communication,0.0,Malicious,1.0
Drop Call,com.dropcall,Communication,0.0,Malicious,1.0
Turkmen Navy Phrases,com.robtheis.android.phrasebook.ub.nv,Communication,0.0,Malicious,1.0
i???????????? ??????????????????,ichannel.nttdocomo.co.jp,News & Magazines,0.0,Malicious,1.0
Tourism Guide,jarc.seamolec.TourismGuide,Communication,0.0,Malicious,1.0
Etiquette For Dummies,apps.dps.etiquette,Social,0.0,Malicious,1.0
Dico Francais-Tunisien V2,frTn.searchabledict,Communication,0.0,Malicious,1.0
Screen Crack with sound!,mindworker.screencrack,Social,0.0,Malicious,1.0
Talk,com.ktix007.talk,Communication,0.0,Malicious,1.0
Uncharted 3 Trophies Guide,linhel.guide.ps3.uncharted3,Communication,0.0,Malicious,1.0
Japan Earthquake Donations,com.spkx.japan.earthquake.donations.tn.applicationname,News & Magazines,0.0,Malicious,1.0
BubblePop,exam.test000,Communication,0.0,Malicious,1.0
Tausug Navy Phrases,com.robtheis.android.phrasebook.tx.nv,Communication,0.0,Malicious,1.0
"Codes, ciphers, and secret wri",com.nullpointer.s1313240117290,Communication,0.0,Malicious,1.0
Turkmen Medical Phrases,com.robtheis.android.phrasebook.ub.md,Communication,0.0,Malicious,1.0
Japan Earthquake Donations,com.spkx.japan.earthquake.donations.tn.applicationname,News & Magazines,0.0,Malicious,1.0
Hilf' Japan,hilfjapan.spendino.de,Social,0.0,Malicious,1.0
Tausug Basic Phrases,com.robtheis.android.phrasebook.tx.bc,Communication,0.0,Malicious,1.0
GettingThere Japanese,sjc.gtj1,Communication,0.0,Malicious,1.0
Missing Person: The Global Hub,com.ppl.MissingPerson,Social,0.0,Malicious,1.0
Antique Dialer,de.pajesystems.antiquedial,Communication,0.0,Malicious,1.0
Froyo theme for CSipSimple,com.csipsimple.themes.froyo,Communication,0.0,Malicious,1.0
Handcent Emoji Plugin,com.handcent.plugin.emoji,Communication,0.0,Malicious,1.0
Handcent SMS Turkish Language,com.handcent.lang.nextsms.tr,Communication,0.0,Malicious,1.0
Turkmen Aircrew Phrases,com.robtheis.android.phrasebook.ub.ac,Communication,0.0,Malicious,1.0
What is Islam?,com.oratech.gainpeace,Social,0.0,Malicious,1.0
Handcent SMS Turkish Language,com.handcent.lang.nextsms.tr,Communication,0.0,Malicious,1.0
Turkish Civil Affairs Phrases,com.robtheis.android.phrasebook.tu.ca,Communication,0.0,Malicious,1.0
Turkish Public Affairs Phrases,com.robtheis.android.phrasebook.tu.pa,Communication,0.0,Malicious,1.0
Page Ring,com.android.pagering,Communication,0.08045744357858516,Malicious,0.9195425564214148
myCU,org.hypest.mycu,Communication,0.08045744357858516,Malicious,0.9195425564214148
Name Tag,com.mollys.nametag,Social,0.08349357352494687,Malicious,0.9165064264750531
Efficiency (free),com.nubbu.efficiency.free,Communication,0.08683331646594473,Malicious,0.9131666835340553
JVC Projector Remote Control,jp.us.tx.kaz.bt,Communication,0.08683331646594473,Malicious,0.9131666835340553
Bluetooth T.K,com.junjun.Bluetoothjinyaseto,Communication,0.08683331646594473,Malicious,0.9131666835340553
On Call End (not call log),com.brosix.callend,Communication,0.09563809331039368,Malicious,0.9043619066896064
Shake&Mute,ua.in.leopard,Communication,0.09563809331039368,Malicious,0.9043619066896064
Wifi State,net.orleaf.android.wifistate,Communication,0.09563809331039368,Malicious,0.9043619066896064
Say What?! Redneck Pack,com.doubletrouble.saywhat.redneck,Communication,0.09563809331039368,Malicious,0.9043619066896064
No Butt CallsÂ®,com.nbc_service_5,Communication,0.09563809331039368,Malicious,0.9043619066896064
Callend Vibrate,com.cn.cwd.callvibrate,Communication,0.09563809331039368,Malicious,0.9043619066896064
Everyday-Nuko for DECOCUTE,jp.futurescope.decocute.pkg_0043_00,Communication,0.09897783625139155,Malicious,0.9010221637486084
Chinese Name (Man),beta.needslab.chinesename.man,Social,0.09897783625139155,Malicious,0.9010221637486084
Dog Barking Problem Solved,com.DogBarkingProblemSolved.magazine.AOTHYESLGFZCBOQKG,Social,0.09897783625139155,Malicious,0.9010221637486084
Kopp Glass Filter Catalog,com.koppglass.production.KoppGlassCatalog,News & Magazines,0.09897783625139155,Malicious,0.9010221637486084
Chinese Name (Girl),beta.needslab.chinesename.girl,Social,0.09897783625139155,Malicious,0.9010221637486084
Quasseldroid Beta,com.iskrembilen.quasseldroid,Communication,0.10137300543129912,Malicious,0.8986269945687009
PNWQuakes,com.imaginedreal.pnwquakes,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
InsideVandy,org.insidevandy.app,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
a donation box,pec.com,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
TwitPlane,jp.codedesign.android.twitplane,Social,0.10137300543129912,Malicious,0.8986269945687009
"Social Call, from O2 Labs",es.tid.socialcall,Communication,0.10137300543129912,Malicious,0.8986269945687009
BarfaLumii,com.gt3.barfalumii,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Whois,com.nix.apps.whois,Communication,0.10137300543129912,Malicious,0.8986269945687009
Mega Millions & Powerball,com.mylottos.mmpbfree,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Tages-Anzeiger,com.phonegap.tagesanzeiger,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Prayers to Share,com.metosphere.prayers,Social,0.10137300543129912,Malicious,0.8986269945687009
Comments.UA,ua.Comments,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Tunerfish,com.tunerfish.tunerfish.ui,Social,0.10137300543129912,Malicious,0.8986269945687009
Scratch My Lotto,com.scratchmylotto.app,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Lottery Results,com.fwsmc.lotto,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Drudge Report (1.2),com.drudge.report,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
infolive.tv,com.infolive.activity,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
EasyTether,com.mstream.easytether_polyclef,Communication,0.10137300543129912,Malicious,0.8986269945687009
Orbot: Tor on Android,org.torproject.android,Communication,0.10137300543129912,Malicious,0.8986269945687009
NVC Check-In,nl.iconsultancy.invccheckin,Communication,0.10137300543129912,Malicious,0.8986269945687009
Easter Day Cards,easterday.mobilechamps,Social,0.10137300543129912,Malicious,0.8986269945687009
Exfoliate for Facebook,com.worb.android.exfoliate,Social,0.10137300543129912,Malicious,0.8986269945687009
TwitterStorm,loc.ibaraki.storm,Social,0.10137300543129912,Malicious,0.8986269945687009
Cachetter,jp.nabe.cachetter,Social,0.10137300543129912,Malicious,0.8986269945687009
??????????????? ??????????????? ?????? ???????????? ?????? ?????????,com.oneaday2,Social,0.10137300543129912,Malicious,0.8986269945687009
HotspotConnect,net.gailly.hotspotconnect,Communication,0.10137300543129912,Malicious,0.8986269945687009
Lotto Results,com.mylottos.results,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Reaper Two-Six,com.reapertwosix.reapertwosix_app,Social,0.10137300543129912,Malicious,0.8986269945687009
URL Shortener Ad-Free,net.ivantis.urlshortener.paid,Communication,0.10137300543129912,Malicious,0.8986269945687009
UC Spot,com.eproximiti.ucspot,Social,0.10137300543129912,Malicious,0.8986269945687009
Radiafo,sst.RadiafoVersionI,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Krone.at,at.krone,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Atlantic Ocean Tsunami Alerter,com.spacenext.tsunami.atlanticocean,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
FRITZ!App Ticker Labor,de.avm.android.ticker,Communication,0.10137300543129912,Malicious,0.8986269945687009
All the Press,com.mobilendo.allthepress,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Taiwan news online,irdc.taiwannews,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Japanese news ??,com.sakura.News2010,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
TSRinfo,ch.tsr2.android,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Indian Ocean Tsunami Alerter,com.spacenext.indianocean,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
????????????,com.okolabo.android.koetsubu,Social,0.10137300543129912,Malicious,0.8986269945687009
Android App for SipX,tk.pankratz.sipxapp.beta,Communication,0.10137300543129912,Malicious,0.8986269945687009
Pacific Ocean Tsunami Alerter,com.spacenext.tsunami.pacificocean,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Communicator (Beta),uc.Communicator,Communication,0.10137300543129912,Malicious,0.8986269945687009
Live C5N for your tablet,com.c5n.infobae,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
US Marine Corps News,com.marines.news,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Web to PDF,mobi.mgeek.mypdf,Communication,0.10137300543129912,Malicious,0.8986269945687009
Feedly,com.devhd.feedly,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Pacific Ocean Tsunami Alerter,com.spacenext.tsunami.pacificocean,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
Cal Berkeley News,com.geekworksllc.ucbnews,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
MM Emergency & Services,appinventor.ai_mcbdlm.MMemergency,Communication,0.10137300543129912,Malicious,0.8986269945687009
Ganbarou Japan (rss_twitter),jp.android_group.payforward,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
TorrentFreak Updater 1.6+,com.nomax.reader.tfreak2,News & Magazines,0.10137300543129912,Malicious,0.8986269945687009
ATS11 Adobe Tech Summit,air.com.riagora.eventapp,Communication,0.10137300543129912,Malicious,0.8986269945687009
