App,Package,Category,TrueLabel,Score,Disagreement
Human Nervous System Study Gui,com.mobilereference.nervoussystem,Books & Reference,Malicious,0.0,1.0
US Army Rifle Marksmanship,com.milodroid.riflemarksmanship,Books & Reference,Malicious,0.0,1.0
Manual of Military Training,com.myappbuilder.ManualofMilitaryTraining,Books & Reference,Malicious,0.0,1.0
The Divine Comedy. ILLUSTRATED,com.mobilereference.divinecomedy,Books & Reference,Malicious,0.0,1.0
2 Stroke Gas Oil Mix Calc Pro,pamplemousse.pro.gasoil,Books & Reference,Malicious,0.0,1.0
Heart of Deception,com.btgn.heartofdeception,Books & Reference,Malicious,0.0,1.0
Sound Touch,com.soundtouch,Education,Malicious,0.0,1.0
Works of Lord Byron,com.mobilereference.Byron,Books & Reference,Malicious,0.0,1.0
Torquemada en la Hoguera,com.libromovil.torquemada,Books & Reference,Malicious,0.0,1.0
Texas CDL Handbook,com.highridge.apdftxcdl,Books & Reference,Malicious,0.0,1.0
In Search of Running Rein,com.digimediaapps.In_Search_of_Running_Rein,Books & Reference,Malicious,0.0,1.0
Learn Urdu,com.quizmine.androidurdu,Books & Reference,Malicious,0.0,1.0
Desert Dreams &  Piston Horses,com.btgn.pistonhorses,Books & Reference,Malicious,0.0,1.0
Elsati's Reward,com.btgn.elsatisrewardfree,Books & Reference,Malicious,0.0,1.0
Learn French Numbers,com.french.numbers,Education,Malicious,0.0,1.0
South The Story Of Shackleton,com.Shackleton,Books & Reference,Malicious,0.0,1.0
NCATSU CompSci Lab Grader,lab.grader,Education,Malicious,0.0,1.0
ITIL Glossary and Acronyms,com.itilglossary,Education,Malicious,0.0,1.0
Learn Russian,com.quizmine.russianandroid,Books & Reference,Malicious,0.0,1.0
Learn German for Tablet,com.quizmine.tab.learngerman,Books & Reference,Malicious,0.0,1.0
Love Song of Alfred Prufrock,com.Shmoop.Android.Poetry,Books & Reference,Malicious,0.0,1.0
CrPC-Code of Criminal Procedur,com.felix.crpc,Books & Reference,Malicious,0.0,1.0
The Glass Menagerie,com.Shmoop.Android.lit00022,Books & Reference,Malicious,0.0,1.0
"Martin Luther King, Jr.",com.sixsense.martinlutherkingjr,Books & Reference,Malicious,0.0,1.0
Praxis II Biology Exam Prep,com.dblpartners.praxisbiology,Books & Reference,Malicious,0.0,1.0
Encyclopedia Of European Birds,com.mobilereference.eurobirds,Books & Reference,Malicious,0.0,1.0
Learn Greek,com.quizmine.greekandroid,Books & Reference,Malicious,0.0,1.0
Texas Transportation Code,com.bigtwit.droidlaw.addon.tx04,Books & Reference,Malicious,0.0,1.0
What's this?,jp.mrshiromi.net.onamaenaani,Education,Malicious,0.0,1.0
Works of Samuel Johnson,com.mobilereference.Johnson,Books & Reference,Malicious,0.0,1.0
Aubrey Beardsley's Collection,com.AubreyBeardsley,Books & Reference,Malicious,0.0,1.0
OTHELLO,com.iwpsoftware.android.ebook.play.william_shakespeare.othello.pro,Books & Reference,Malicious,0.0,1.0
MINIGUIDE Mortal Kombat 2011,com.hologamma,Books & Reference,Malicious,0.0,1.0
Learn Spanish (Preview),com.quizmine.soanishpreview,Books & Reference,Malicious,0.0,1.0
12 HOT DAYS OF XMAS-SEXY XMAS??,com.ravenousromance.HotDaysOfChristmas.view,Books & Reference,Malicious,0.0,1.0
CompTIA Server+ Exam Prep,com.dblpartners.comptia_server,Books & Reference,Malicious,0.0,1.0
Speed Trap,com.btgn.speedtrap,Books & Reference,Malicious,0.0,1.0
Case Is Altered By Ben Jonson,com.BenJonson,Books & Reference,Malicious,0.0,1.0
Biology Study Guide,com.mobilereference.biology,Books & Reference,Malicious,0.0,1.0
The Hatopotamus-Book,com.digimediaapps.The_Hatopotamus,Books & Reference,Malicious,0.0,1.0
Basic Training Smart Card,com.fa53.bctsmartcard,Books & Reference,Malicious,0.0,1.0
Kaplan GRE Exam Vocabulary,com.gwhizmobile.vocab,Education,Malicious,0.0,1.0
BEC Notes,com.gwhizmobile.focusnotesbec,Education,Malicious,0.0,1.0
Slips Of Speech,com.myappbuilder.SlipsofSpeech,Books & Reference,Malicious,0.0,1.0
Samuel Johnson's Collection,com.SamuelJohnson,Books & Reference,Malicious,0.0,1.0
Cupcakes and Cupids,com.btgn.cupcakesandcupids,Books & Reference,Malicious,0.0,1.0
Monkey Math Pro,com.WWID.MonkeyMathsTT,Education,Malicious,0.0,1.0
Learning Letters and Numbers,tk.pankratz.learninglettersandnumbers,Education,Malicious,0.0,1.0
Engineering Unit Conversion,ca.activeminds.engunitconv,Education,Malicious,0.0,1.0
????????????,com.willforce.android.gensou.launcher,Books & Reference,Malicious,0.0,1.0
Voith iVSP,air.iVSP01,Education,Malicious,0.0,1.0
Kids ABC Phonics,com.intellijoy.android.phonics,Education,Malicious,0.0,1.0
Bushell On The Rampage,com.digimediaapps.Bushell_On_The_Rampage,Books & Reference,Malicious,0.0,1.0
logodroid,com.alsoft.logodroid,Education,Malicious,0.0,1.0
The Dangerously Big Bunny-Book,com.digimediaapps.The_Dangerously_Big_Bunny,Books & Reference,Malicious,0.0,1.0
Speed Trap,com.btgn.speedtrap,Books & Reference,Malicious,0.0,1.0
The Comedy of Errors PRO,com.iwpsoftware.android.ebook.play.william_shakespeare.the_comedy_of_errors.pro,Books & Reference,Malicious,0.0,1.0
Tennessee Driver Study Guide,com.highridge.apdftndsg,Books & Reference,Malicious,0.0,1.0
English Turkish Dictionary,app.turkish.dictionary,Education,Malicious,0.0,1.0
American States List and Facts,com.olgapps.americanstates,Education,Malicious,0.0,1.0
A Little Bit Cocky,com.btgn.alittlebitcocky,Books & Reference,Malicious,0.0,1.0
Animal Sounds & Pictures,com.acez.animalsounds,Education,Malicious,0.0,1.0
Angel Hunt-Book,com.digimediaapps.Angel_Hunt,Books & Reference,Malicious,0.0,1.0
Sir Thomas Browne Collection,com.ThomasBrowne,Books & Reference,Malicious,0.0,1.0
Aftermath of a Nuclear Attack,com.AftermathofaNuclearAttack,Books & Reference,Malicious,0.0,1.0
???TOEIC(R)??????????????????????????????????????????2000,jp.imagineer.toeic2000r.xp,Education,Malicious,0.0,1.0
El R??o de la Muerte,com.libromovil.chickamauga,Books & Reference,Malicious,0.0,1.0
Works of Nietzsche,com.mobilereference.Nietzsche,Books & Reference,Malicious,0.0,1.0
TJ Quotes,com.hipponetworks.tj,Books & Reference,Malicious,0.0,1.0
Twelfth Night PRO,com.iwpsoftware.android.ebook.play.william_shakespeare.twelfth_night.pro,Books & Reference,Malicious,0.0,1.0
Woodview Heights,com.btgn.woodviewheights,Books & Reference,Malicious,0.0,1.0
Gol fBasics,com.myappbuilder.GolfBasics,Books & Reference,Malicious,0.0,1.0
Moose brushing his teeth,com.jafs.moosebook,Books & Reference,Malicious,0.0,1.0
Anlaute lernen f??r Kinder DEMO,tk.pankratz.anlautelernendemo,Education,Malicious,0.0,1.0
U.S. Constitution plus more,com.bigtwit.droidlaw.addon.hst,Books & Reference,Malicious,0.0,1.0
Weigh Loss All Star,com.EBeuvaliers.weightlossallstar,Books & Reference,Malicious,0.0,1.0
Mr. Turtle's Flying Adventure,com.digimediaapps.Mr__Turtle_s_Flying_Adventure,Books & Reference,Malicious,0.0,1.0
Julius Caesar PRO,com.iwpsoftware.android.ebook.play.william_shakespeare.julius_caesar.pro,Books & Reference,Malicious,0.0,1.0
Save Your Marriage,com.WideMedia.SaveYourMarriage,Books & Reference,Malicious,0.0,1.0
Fourier principles,fourier.fourier,Books & Reference,Malicious,0.0,1.0
Learn French Turkish,learn.fre.tur,Education,Malicious,0.0,1.0
NBDE Part I and Part II Bundle,com.dblpartners.NBDEBundle,Books & Reference,Malicious,0.0,1.0
North American Reptiles,com.mobilereference.reptiles,Books & Reference,Malicious,0.0,1.0
Ma Nishtana,com.zigzagworld.manishtana,Education,Malicious,0.0,1.0
1861 June Am Civil War Gazette,com.rvinyard.acwgazette.y1861.m06,Books & Reference,Malicious,0.0,1.0
Sword of the Spirit Bible game,com.pyrla.quizapp,Books & Reference,Malicious,0.0,1.0
Learn Gujarati,com.quizmine.androidgujarati,Books & Reference,Malicious,0.0,1.0
Sahih Bukhari HadithCollection,islamic.alkhawarizimi.sahihBukhari,Books & Reference,Malicious,0.0,1.0
Learn Telugu for Tablet,com.quizmine.tab.learnutelugu,Books & Reference,Malicious,0.0,1.0
LinguPingu FREE-English German,air.lpdeenandroidfree,Education,Malicious,0.0,1.0
HEâ€™S BEWITCHED-GAY WARLOCK SEX,com.ravenousromance.HesBewitched.view,Books & Reference,Malicious,0.0,1.0
The Dangerously Big Bunny-Book,com.digimediaapps.The_Dangerously_Big_Bunny,Books & Reference,Malicious,0.0,1.0
Learn French for Tablet,com.quizmine.tab.learnfrench,Books & Reference,Malicious,0.0,1.0
Life of Chopin,com.digimediaapps.Life_of_Chopin,Books & Reference,Malicious,0.0,1.0
Bertha Garlan,com.myappbuilder.BerthaGarlan,Books & Reference,Malicious,0.0,1.0
Insiders Guide To Forex Trade,com.widemedia.InsidersGuideToForexTrading,Books & Reference,Malicious,0.0,1.0
Works of P. G. Wodehouse,com.mobilereference.Wodehouse,Books & Reference,Malicious,0.0,1.0
Vet Nurse Quick Reference,com.darxide.android.vnreference,Books & Reference,Malicious,0.0,1.0
All's Well That Ends Well PRO,com.iwpsoftware.android.ebook.play.william_shakespeare.all_s_well_that_ends_well.pro,Books & Reference,Malicious,0.0,1.0
Signs of Allah (God),com.CGlance.signsofallah,Books & Reference,Malicious,0.0,1.0
King Lear PRO,com.iwpsoftware.android.ebook.play.william_shakespeare.king_lear.pro,Books & Reference,Malicious,0.0,1.0
Munchkin Android,com.slinkman.munchkin,Books & Reference,Malicious,0.0,1.0
Works of Robert Browning,com.mobilereference.BrowningR,Books & Reference,Malicious,0.0,1.0
Crystal Tears Forever,com.btgn.crystaltears,Books & Reference,Malicious,0.0,1.0
Romeo and Juliet PRO,com.iwpsoftware.android.ebook.play.william_shakespeare.romeo_and_juliet.pro,Books & Reference,Malicious,0.0,1.0
On The Sublime And Beautiful,com.EdmundBurke,Books & Reference,Malicious,0.0,1.0
TX Civil Practice And Remedies,com.bigtwit.droidlaw.addon.tx01,Books & Reference,Malicious,0.0,1.0
M4 Exploder,com.TBOC.M4Exploder,Education,Malicious,0.0,1.0
Theodore Dreiser's Collection,com.TheodoreDreiser,Books & Reference,Malicious,0.0,1.0
Moral Stories,com.tidels.moralstories3,Education,Malicious,0.0,1.0
Psychology Study Guide,com.mobilereference.psychology,Books & Reference,Malicious,0.0,1.0
Ramadhan 2011,de.ahmadiyya.ramadhan,Books & Reference,Malicious,0.0,1.0
Wild Blackberries,com.btgn.blackberries,Books & Reference,Malicious,0.0,1.0
Romeo and Juliet,com.mobilereference.Romeo,Books & Reference,Malicious,0.0,1.0
Organic Chemistry Study Guide,com.mobilereference.organicchemistry,Books & Reference,Malicious,0.0,1.0
Induction Free Sample,com.btgn.inductionsample,Books & Reference,Malicious,0.0,1.0
The Children Bible,com.mobilereference.childrenbible,Books & Reference,Malicious,0.0,1.0
KIDS Learning Games Alphabet P,com.credipoint.androidUI,Education,Malicious,0.0,1.0
Works of Oscar Wilde,com.mobilereference.wilde,Books & Reference,Malicious,0.0,1.0
US States Trivia Drag,com.ranviclabs.matchingUS,Education,Malicious,0.0,1.0
Army Fitness Calculator,com.fivefiftycord.armyfitnesscalc,Books & Reference,Malicious,0.0,1.0
12 HOT DAYS OF XMAS-SEXY XMASÂ ,com.ravenousromance.HotDaysOfChristmas.view,Books & Reference,Malicious,0.0,1.0
Wright Brothers Biography,com.sixsense.wrightbrother,Books & Reference,Malicious,0.0,1.0
H. P. Lovecraft Collection,com.H.P.Lovecraft,Books & Reference,Malicious,0.0,1.0
Psychology Study Guide,com.mobilereference.psychology,Books & Reference,Malicious,0.0,1.0
The Railway Children By Edith,com.EdithNesbit,Books & Reference,Malicious,0.0,1.0
Aeschylus's Books Collection,com.Aeschylus,Books & Reference,Malicious,0.0,1.0
