App,Package,Category,TrueLabel,Score,Disagreement
Cat Playground,com.silverleaf.catgplayground,Casual,Malicious,0.0,1.0
Hanoi Tower Strip,com.game.hanoi.tower,Brain & Puzzle,Malicious,0.0,1.0
College Football History,com.edgeparkcs.CollegeFootball,Brain & Puzzle,Malicious,0.0,1.0
Brownie Taps,com.BrownieTapsFramework,Casual,Malicious,0.0,1.0
E-son Putonghua Lite,hk.com.noahmedia.nmaep.litev,Brain & Puzzle,Malicious,0.0,1.0
TiltMazes,com.lecz.android.tiltmazes,Brain & Puzzle,Malicious,0.0,1.0
Tic Tac Toe Human vs Human,com.blogspot.bonep.tictactoe,Brain & Puzzle,Malicious,0.0,1.0
Train Jumper,com.imohoo.train,Casual,Malicious,0.0,1.0
5 Star Games,com.playerx.fsg,Brain & Puzzle,Malicious,0.0,1.0
Night Hunter,com.movingames.nighthunter,Sports Games,Malicious,0.0,1.0
Ballsy,com.jm.sensor,Casual,Malicious,0.0,1.0
Par 72 Golf,com.resetgame.par72golf2,Sports Games,Malicious,0.0,1.0
Tic Tac Toe Mania Full Version,com.numericalactivity.tictactoemania.unlocker,Brain & Puzzle,Malicious,0.0,1.0
POGZ,air.com.terrypaton.pogz,Brain & Puzzle,Malicious,0.0,1.0
Tic Tac Toe 3D,com.cocosjungle.tictactoe3d,Brain & Puzzle,Malicious,0.0,1.0
CASINO TOWN,jp.butterflycorp.android.casinotown.poker,Cards & Casino,Malicious,0.0,1.0
Tic Tac Toe,tim.tictactoe,Casual,Malicious,0.0,1.0
Srickie,rs.brakus.srickie,Brain & Puzzle,Malicious,0.0,1.0
Pocket God,com.ngmoco.pocketgod,Arcade & Action,Malicious,0.0,1.0
The Rush II: Training Camp,com.rmk.rushfree,Arcade & Action,Malicious,0.0,1.0
CarTycoon,apps.vbnl.android.cartycoon,Arcade & Action,Malicious,0.0,1.0
3D Night Tower,org.tenjin.wallpaper9988902,Casual,Malicious,0.0,1.0
BounceMe,com.neelsomani.bounceme,Brain & Puzzle,Malicious,0.0,1.0
Tractor Beam,com.longleggedfly.tractorbeam,Arcade & Action,Malicious,0.0,1.0
Jelly Donuts,com.JellyDonutsFramework,Casual,Malicious,0.0,1.0
Fire Truck Driver,com.FireTruckN,Arcade & Action,Malicious,0.0,1.0
Jean-Clawed,com.appfamily.jeanclawed,Casual,Malicious,0.0,1.0
ElephantToss,com.mozeali.ElephantToss,Arcade & Action,Malicious,0.0,1.0
Tic Tac Toe,tm.app.ticTacToe,Casual,Malicious,0.0,1.0
Tic Tat Toe,air.tictattoe,Brain & Puzzle,Malicious,0.0,1.0
Truck Demolisher,air.androdemolisher11,Racing,Malicious,0.0,1.0
Naughts,com.Naughts,Casual,Malicious,0.0,1.0
Shape Safari Pro,com.spelunkcomputing.shapesafaripro,Brain & Puzzle,Malicious,0.0,1.0
Tic Tac Toe,com.dmnissley.tictactoe,Casual,Malicious,0.0,1.0
100 boxes training FAN,net.darkdrive.android.hmasfan,Brain & Puzzle,Malicious,0.0,1.0
Penguin Snowcap Challenge Lite,com.wavecrestentertainment.penguinracelite,Arcade & Action,Malicious,0.0,1.0
Tic Tac Toe Express,com.vsandroid.main,Brain & Puzzle,Malicious,0.0,1.0
San Francisco Tycoon,com.pixalonstudios.android.sanfranciscotycoon,Brain & Puzzle,Malicious,0.0,1.0
Trouser Trouble,beril.mootor.trousertrouble,Arcade & Action,Malicious,0.0,1.0
Dumb Lite,djf.dumblite,Arcade & Action,Malicious,0.0,1.0
Solitaire MegaPack,com.tesseractmobile.solitairemulti,Cards & Casino,Malicious,0.0,1.0
Eskimo Tower Defense LITE,com.chalmers.game.td,Arcade & Action,Malicious,0.0,1.0
Tilt Mini Golf,net.pierrox.gravity_golf.ext_course.hard,Arcade & Action,Malicious,0.0,1.0
Dreamdom Tic Tac Toe,com.dreamdom.tictactoe,Casual,Malicious,0.0,1.0
