AppID,Camera,Location,Contacts,Microphone,Storage,SMS,CallLogs,Bluetooth,Calendar,PhoneState,Internet,ReadPhoneNumbers
SOC0001,1,1,1,1,1,0,0,0,0,0,1,0
SOC0002,1,1,1,0,0,0,0,0,0,0,1,0
SOC0003,1,0,1,1,0,0,0,0,0,0,1,0
SOC0004,1,0,1,1,1,0,1,0,0,0,1,0
SOC0005,1,1,1,1,0,1,0,1,0,0,1,1
SOC0006,0,0,1,1,1,1,0,0,0,0,0,0
SOC0007,1,1,1,1,0,0,1,1,0,1,0,1
SOC0008,1,1,0,0,0,1,1,0,0,0,0,0
SOC0009,1,0,0,1,1,0,0,0,0,0,1,0
SOC0010,0,0,1,1,0,0,0,0,0,0,1,0
SOC0011,1,0,0,0,1,1,0,0,0,0,0,1
SOC0012,1,0,1,1,0,0,0,0,0,0,0,0
SOC0013,1,0,1,1,1,0,0,0,0,0,1,0
SOC0014,1,0,0,1,1,0,0,0,0,0,0,0
SOC0015,1,0,0,1,1,0,0,0,0,0,1,0
SOC0016,0,0,1,0,1,0,0,0,0,0,1,0
SOC0017,0,0,0,1,0,0,0,0,0,0,0,0
SOC0018,1,0,0,1,1,0,0,0,0,1,1,0
SOC0019,1,0,1,1,1,0,0,0,0,0,1,0
SOC0020,0,0,1,1,1,0,0,0,1,0,0,0
SOC0021,1,0,1,1,1,0,1,0,1,0,1,0
SOC0022,1,1,1,1,0,1,0,0,1,0,0,0
SOC0023,1,1,1,1,1,0,0,1,0,0,1,1
SOC0024,0,1,1,1,1,0,1,1,1,0,0,1
SOC0025,1,0,1,1,1,1,1,0,0,0,1,1
SOC0026,0,1,1,0,1,1,1,0,0,0,1,1
SOC0027,1,0,1,1,1,0,0,0,0,0,1,0
SOC0028,1,0,1,1,1,0,0,0,0,0,1,1
SOC0029,1,0,1,1,0,0,0,0,0,0,1,0
SOC0030,1,0,1,1,0,0,0,0,0,0,0,0
SOC0031,1,0,1,1,1,0,0,0,0,1,1,1
SOC0032,0,0,1,1,1,0,0,0,0,0,1,0
SOC0033,1,0,1,1,0,0,0,0,0,0,1,0
